Estado	Municipio	Parroquia	Centro	Número de Electores escrutados.	Número de Actas Procesadas.	Número total de Votos Nulos.	Número Total de Votantes que votaron realmente.	HUGO CHAVEZ	Número total de Votos Válidos.	ORLANDO CHIRINO	REINA SEQUERA	LUIS REYES	MARIA BOLIVAR	HENRIQUE CAPRILES RADONSKI	Número de Votos Escrutados.
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA CONCENTRADA MIXTA NUMERO 133	559	1	26	440	290	414	0	2	0	0	122	440
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA CONCENTRADA NUMERO 5	185	1	1	149	116	148	0	0	0	0	32	149
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA ESTADAL CONCENTRADA NUMERO 108	514	1	24	407	243	383	0	5	0	0	135	407
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA CONCENTRADA NACIONAL MIXTA Y ANEXA ESTADAL NUMERO 132	852	2	23	699	498	676	0	4	0	0	174	699
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA CONCENTRADA NUMERO 109	376	1	2	307	237	305	0	1	0	0	67	307
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	UNIDAD ESTADAL CONCENTRADA NUMERO 537	175	1	7	158	107	151	0	0	1	0	43	158
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA BASICA ESTADAL UNITARIA SIN NUMERO NER 166	100	1	3	87	60	84	0	3	0	0	21	87
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA ESTADAL CONCENTRADA NUMERO 121	319	1	11	264	200	253	0	5	0	0	48	264
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA NACIONAL CONCENTRADA LA CEBEREÑA	520	1	10	430	278	420	2	5	0	0	135	430
EDO. PORTUGUESA	MP. GUANARITO	PQ. DIVINA PASTORA	ESCUELA ESTADAL UNITARIA NUMERO 51
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA ESTADAL UNITARIA NUMERO 129	775	2	8	654	304	646	0	0	0	0	342	654
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA ESTADAL CONCENTRADA LA HOYADA NUMERO 107	764	2	10	586	493	576	0	1	3	0	79	586
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA BASICA UNITARIA 536 COROZAL	585	1	6	484	246	478	0	1	0	0	231	484
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA BASICA PORTUGUESA	2674	5	38	2207	1612	2169	2	11	4	1	539	2207
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA ESTADAL UNITARIA NUMERO 131	268	1	0	148	136	148	1	0	0	0	11	148
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA ESTADAL UNITARIA NUMERO 12	362	1	5	277	234	272	0	0	1	0	37	277
EDO. PORTUGUESA	MP. GUANARITO	CM. GUANARITO	ESCUELA ESTADAL CONCENTRADA NUMERO 134	110	1	2	92	71	90	0	0	0	0	19	92
