Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA FRANCISCO DE MIRANDA,N/A,811,583,583,575,8,N/A,2,0,0,1,1,166,407
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA LA MACANILLA,N/A,941,648,648,643,5,N/A,2,0,0,0,1,202,440
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BÁSICA BOLIVARIANA LAGUNA CLARA,N/A,91,76,76,76,0,N/A,1,0,0,0,0,38,38
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA LA ESTACION,N/A,516,399,399,394,5,N/A,1,0,0,0,2,136,256
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA MATA DE LOS INDIOS,N/A,396,331,331,321,10,N/A,1,0,0,1,0,105,215
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BÁSICA BOLIVARIANA SANTA BÁRBARA,N/A,233,173,173,171,2,N/A,1,0,0,0,0,57,114
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA PIEDRA AZUL,N/A,157,136,136,136,0,N/A,1,0,0,0,1,31,104
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,CENTRO DE EDUCACION INICIAL PEDRO CAMEJO,N/A,666,583,583,575,8,N/A,2,0,0,0,4,204,367
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA AGUA LINDA,N/A,181,156,156,154,2,N/A,1,0,0,0,0,80,74
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA PRIMARIA MONTIEL,N/A,451,346,346,343,3,N/A,1,0,0,0,0,108,235
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA JUAN FRANCISCO VILLEGA,N/A,509,427,427,421,6,N/A,1,0,0,0,3,182,236
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA GRANJA URAÑON,N/A,306,159,159,159,0,N/A,1,0,0,0,0,22,137
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA BOLIVARIANA VILLAGUERO,N/A,179,145,145,142,3,N/A,1,0,0,0,0,36,106
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,LICEO BOLIVARIANO DON ROMULO GALLEGOS,N/A,1791,1390,1390,1377,13,N/A,4,0,1,0,5,569,802
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA MEDANO ALTO,N/A,447,137,137,136,1,N/A,1,0,0,0,0,39,97
EDO. APURE,MP. PEDRO CAMEJO,PQ. CUNAVICHE,ESCUELA BASICA PEDRO CAMEJO,N/A,2268,1780,1780,1762,18,N/A,4,0,0,2,8,587,1165
EDO. APURE,MP. PEDRO CAMEJO,PQ. SAN JUAN DE PAYARA,ESCUELA BASICA BOLIVARIANA CUNAVICHITO 5,N/A,509,426,426,423,3,N/A,1,0,0,1,0,77,345
EDO. APURE,MP. PEDRO CAMEJO,PQ. SAN JUAN DE PAYARA,LICEO BOLIVARIANO COMBINADO PEDRO CAMEJO,N/A,2564,1992,1992,1953,39,N/A,5,1,1,0,3,623,1325
EDO. APURE,MP. PEDRO CAMEJO,PQ. SAN JUAN DE PAYARA,ESCUELA BASICA BOLIVARIANA CONCENTRADA NUMERO 85,N/A,1076,851,851,848,3,N/A,2,0,0,0,3,334,511
EDO. APURE,MP. PEDRO CAMEJO,PQ. SAN JUAN DE PAYARA,ESCUELA BASICA PASO PAYARA,N/A,547,419,419,415,4,N/A,1,0,0,0,1,173,241
EDO. APURE,MP. PEDRO CAMEJO,PQ. SAN JUAN DE PAYARA,ESCUELA BASICA  BOLIVARIANA JUAN BAUTISTA ESTE,N/A,2721,2092,2092,2053,39,N/A,5,1,0,0,9,741,1302
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA BÁSICA BOLIVARIANA CAÑO LA GUARDIA,N/A,159,132,132,123,9,N/A,1,0,0,0,1,0,122
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA BASICA BOLIVARIANA JOSE MANUEL SANCHEZ OSTOS,N/A,448,278,278,250,28,N/A,1,0,0,0,1,63,186
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA GRANJA JOSE MANUEL SANCHEZ OSTOS,N/A,1566,987,987,929,58,N/A,3,0,0,1,3,241,684
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA BASICA BOLIVARIANA DON SIMON RODRIGUEZ,N/A,66,45,45,43,2,N/A,1,0,0,0,0,7,36
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESC BASICA BOLIVARIANA BUENAVISTA DEL META,N/A,325,226,226,225,1,N/A,1,0,0,0,0,8,217
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA BÁSICA EL PROGRESO,N/A,228,181,181,174,7,N/A,1,0,0,0,0,16,158
EDO. APURE,MP. PEDRO CAMEJO,PQ. CODAZZI,ESCUELA PRIMARIA BOLIVARIANA BOCA DE CINARUCO,N/A,126,108,108,103,5,N/A,1,0,0,0,0,63,40
EDO. APURE,MP. MU#OZ,PQ. MANTECAL,ESCUELA PRIMARIA LUÍS HUMBERTO DÍAZ,N/A,730,631,631,620,11,N/A,2,0,0,0,2,105,513
EDO. APURE,MP. MU#OZ,PQ. MANTECAL,ESCUELA PRIMARIA GUARITICO,N/A,278,221,221,215,6,N/A,1,0,0,0,0,43,172
EDO. APURE,MP. MU#OZ,PQ. MANTECAL,ESCUELA PRIMARIA PULIDO I,N/A,117,106,106,104,2,N/A,1,0,0,0,1,14,89
EDO. APURE,MP. MU#OZ,PQ. MANTECAL,CENTRO EDUCACION INICIAL BOLIVARIANO ANTONIO JOSE DE SUCRE,N/A,2427,1918,1918,1878,40,N/A,5,1,0,1,11,503,1362
