Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,CONCENTRACION ESCOLAR NUMERO 54,N/A,731,542,542,525,17,N/A,2,0,0,0,1,96,428
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,ESCUELA CUYAGUA,N/A,513,419,419,414,5,N/A,1,0,0,0,1,106,307
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,ESCUELA BASICA ESTADAL JESUS IGNACIO ITURZAETA,N/A,2233,1691,1691,1655,36,N/A,4,0,1,0,7,807,840
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,UNIDAD EDUCATIVA ESTADAL CONCENTRADA LAS MONJAS,N/A,215,184,184,182,2,N/A,1,0,0,0,1,49,132
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CATA,N/A,809,633,633,622,11,N/A,2,1,0,0,1,120,500
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,ESCUELA BASICA DELUYAR,N/A,2692,2053,2053,2008,45,N/A,5,0,1,2,10,943,1052
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,ESCUELA ESTADAL UNITARIA Nº 40,N/A,389,300,300,295,5,N/A,1,0,0,0,0,79,216
EDO. ARAGUA,MP.OCUMARE D L COSTA,PQ. OCUMARE DE LA COSTA,INCES OCUMARE DE LA COSTA DE ORO,N/A,1003,839,839,820,19,N/A,2,1,0,0,5,232,582
EDO. ARAGUA,MP. SANTOS MICHELENA,PQ. TIARA,ESCUELA BASICA ESTADAL TIARA,N/A,1330,1071,1071,1043,28,N/A,3,0,0,0,5,166,872
EDO. ARAGUA,MP. SANTOS MICHELENA,PQ. TIARA,UNIDAD EDUCATIVA ESTADAL RURAL CAGUA DE LAS MERCEDES,N/A,239,217,217,210,7,N/A,1,0,0,0,0,25,185
EDO. ARAGUA,MP. SANTOS MICHELENA,PQ. TIARA,UNIDAD EDUCATIVA ESTADAL CONCENTRADA LA ESPERANZA,N/A,1199,922,922,857,65,N/A,3,0,1,1,3,225,627
EDO. ARAGUA,MP. SANTOS MICHELENA,PQ. TIARA,UNIDAD EDUCATIVA ESTADAL CONCENTRADA LAS DOLORES DE ARAGUA,N/A,225,154,154,152,2,N/A,1,0,0,0,1,35,116
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA BASICA MADRE MARIA DE SAN JOSE,N/A,2870,2401,2401,2346,55,N/A,5,2,0,1,3,418,1922
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA BASICA ESTADAL TINAPUEY,N/A,1386,1219,1219,1199,20,N/A,3,0,0,1,4,109,1085
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,UNIDAD EDUCATIVA ESTADAL RAMON GARCIA DE SENA,N/A,2411,1893,1893,1849,44,N/A,5,1,0,0,4,244,1600
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,UNIDAD EDUCATIVA ESCOLAR CONCENTRADA EL JABILLAR NER 004 B,N/A,1945,1578,1578,1523,55,N/A,4,0,0,1,7,305,1210
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA GRADUADA JULIO PAEZ,N/A,2506,1982,1982,1939,43,N/A,5,3,0,3,6,457,1470
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA BASICA ENCARNACION DE NIEVES,N/A,2445,1899,1899,1826,73,N/A,5,0,0,2,5,411,1408
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,UNIDAD EDUCATIVA SERGIO MEDINA,N/A,2177,1714,1714,1685,29,N/A,4,1,3,0,4,602,1075
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA BASICA NACIONAL LEONARDO RUIZ PINEDA,N/A,434,413,413,406,7,N/A,1,0,0,0,1,57,348
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,ESCUELA BASICA JACOB PEREZ CARBALLO,N/A,3015,2422,2422,2371,51,N/A,6,0,1,0,13,809,1548
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,FUNDACION PARA EL DESARROLLO DE LAS ARTES Y LA CULTURA,N/A,947,847,847,824,23,N/A,2,0,0,1,2,197,624
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,UNIDAD EDUCATIVA CONCRENTRADA RURAL ARAIZA,N/A,204,173,173,170,3,N/A,1,1,0,0,0,16,153
EDO. ARAGUA,MP. SANTOS MICHELENA,CM. LAS TEJERIAS,UNIDAD EDUCATIVA ESTADAL NUESTRA SEÑORA DE BELEN,N/A,949,827,827,796,31,N/A,2,0,0,0,2,96,698
EDO. ARAGUA,MP. ZAMORA,PQ. VALLES DE TUCUTUNEMO,ESCUELA CONCENTRADA SIMONA ACACIO,N/A,3043,2418,2418,2357,61,N/A,6,4,0,3,16,309,2025
EDO. ARAGUA,MP. ZAMORA,PQ. VALLES DE TUCUTUNEMO,ESCUELA ESTADAL TEOTISTE DE GALLEGOS,N/A,2450,2002,2002,1919,83,N/A,5,1,3,3,15,375,1522
EDO. ARAGUA,MP. ZAMORA,PQ. VALLES DE TUCUTUNEMO,UNIDAD EDUCATIVA ESTADAL RURAL LOS CHORROS,N/A,498,464,464,452,12,N/A,1,0,0,0,1,43,408
EDO. ARAGUA,MP. ZAMORA,PQ. PQ AUGUSTO MIJARES,UNIDAD EDUCATIVA NACIONAL JOSE NUNEZ TENORIO,N/A,289,251,251,245,6,N/A,1,0,0,0,0,29,216
EDO. ARAGUA,MP. ZAMORA,PQ. PQ AUGUSTO MIJARES,PREESCOLAR NACIONAL CANDIDO ROSENDO PRADO,N/A,516,453,453,443,10,N/A,1,0,0,0,1,113,329
