Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,UNIDAD  BASICA  ALEJO FORTIQUE,N/A,1908,1469,1469,1434,35,N/A,4,1,1,0,8,477,947
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA ESTADAL CONCENTRADA  183 LA LEGUA,N/A,757,637,637,628,9,N/A,2,0,0,0,4,229,395
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA BASICA ESTADAL CONCENTRADA VAINILLA. NER 315,N/A,360,292,292,282,10,N/A,1,0,0,0,3,85,194
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA NACIONAL CONCENTRADA NUCLEO ESCOLAR RURAL 315 EL FANTASMA,N/A,234,202,202,198,4,N/A,1,0,0,0,1,11,186
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,INFOCENTRO SAN SILVESTRE DE TOTUMAL,N/A,446,374,374,371,3,N/A,1,0,0,1,4,94,272
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA ESTADAL CONCENTRADA MORROCOY 749,N/A,483,384,384,376,8,N/A,1,0,0,0,0,166,210
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA ESTADAL CONCENTRADA  LA CASCABEL,N/A,642,540,540,534,6,N/A,2,0,0,0,3,155,376
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA BASICA NACIONAL CONCENTRADA PUNTO FIJO,N/A,215,184,184,183,1,N/A,1,0,0,0,2,24,157
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA BASICA CONCENTRADA LAS MERCEDES,N/A,142,130,130,127,3,N/A,1,0,0,0,1,19,107
EDO. BARINAS,CE. BARINAS,PQ. SAN SILVESTRE,ESCUELA NACIONAL CONCENTRADA SIN NUMERO HATO VAINILLA,N/A,295,236,236,220,16,N/A,1,0,0,0,3,31,186
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,ESCUELA BOLIVARIANA JUAN PABLO II,N/A,3189,2443,2443,2382,61,N/A,6,1,2,1,15,649,1714
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,CENTRO DE EDUCACION INICIAL HIJOS DE LA PATRIA,N/A,328,298,298,292,6,N/A,1,0,0,0,4,54,234
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,JARDIN DE INFANCIA BOLIVARIANO,N/A,992,834,834,818,16,N/A,2,0,1,0,1,451,365
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,CENTRO DE EDUCACION INICIAL  NIÑO VENEZOLANO,N/A,3909,3407,3407,3330,77,N/A,7,1,0,1,13,1607,1708
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,CENTRO DE EDUCACIÓN  INICIAL SIMONCITO FLORENTINO,N/A,459,395,395,383,12,N/A,1,0,0,0,4,90,289
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,UNIDAD  BASICA HERMINIO LEON COLMENARES,N/A,4379,3720,3720,3639,81,N/A,8,1,0,1,8,1910,1719
EDO. BARINAS,CE. BARINAS,PQ. RAMON I MENDEZ,CENTRO DE EDUCACION INICIAL MI JARDIN,N/A,2595,2004,2004,1970,34,N/A,5,0,0,0,18,551,1401
