Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA CONCENTRADA INTEGRAL SANTIAGO IZAGUIRREZ 2,N/A,545,432,432,421,11,N/A,1,0,0,0,4,116,301
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,UNIDAD EDUCATIVA NACIONAL SAN FRANCISCO,N/A,202,161,161,159,2,N/A,1,0,0,0,0,57,102
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,UNIDAD EDUCATIVA NACIONAL BASICA CHAGUARAMOS,N/A,151,133,133,132,1,N/A,1,0,0,0,0,41,91
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA BASICA NACIONAL SANTIAGO IZAGUIRRE,N/A,3130,2166,2166,2105,61,N/A,6,1,0,3,15,819,1267
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA BASICA UNITARIA JUAS JUAL 1,N/A,63,50,50,50,0,N/A,1,0,0,0,0,5,45
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA BASICA NACIONAL UNITARIA SAN ANTONIO,N/A,104,84,84,84,0,N/A,1,0,0,0,0,28,56
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,COLEGIO SAN JUAN BAUTISTA,N/A,97,50,50,50,0,N/A,1,0,0,0,0,1,49
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA BASICA NACIONAL UNITARIA LOS MONOS NUCLEO ESCOLAR RURAL 188,N/A,59,45,45,39,6,N/A,1,0,0,1,0,5,33
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA LA ISLA NUCLEO ESCOLAR RURAL 188,N/A,268,229,229,227,2,N/A,1,0,0,1,0,30,196
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA INTEGRAL BOLIVARIANA EL CERRITO,N/A,421,327,327,309,18,N/A,1,0,0,0,3,43,263
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SAN FRANCISCO,ESCUELA BASICA NACIONAL UNITARIA LA CONQUISTA,N/A,62,56,56,56,0,N/A,1,0,0,0,0,21,35
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA NACIONAL UNITARIA LA FRITERA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,UNIDAD EDUCATIVA FRANCISCO JAVIER YANEZ,N/A,1382,906,906,884,22,N/A,3,1,0,0,6,441,436
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA BOLIVARIANA LA PERIQUERA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,UNIDAD EDUCATIVA NACIONAL AEROPUERTO,N/A,531,364,364,352,12,N/A,1,0,0,0,3,131,218
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA INTEGRAL MANACAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA ESTADAL CONCENTRADA Nº 292300 SAN SALVADOR DE PAUL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA UNITARIA EL CASABE NUMERO 236,N/A,830,400,400,392,8,N/A,2,3,0,1,1,31,356
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA ESTADAL. EL CRISTO,N/A,717,518,518,510,8,N/A,2,0,0,0,4,263,243
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,CENTRO DE EDUCACIÒN INTEGRAL BOLIVARIANO CAMPO GRANDE. EL CHIGUAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,UNIDAD EDUCATIVA NACIONAL BASICA KARUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA NACIONAL MAMA EULALIA II,N/A,147,109,109,108,1,N/A,1,0,0,2,0,13,93
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA BASICA NACIONAL BOLIVARIANA LAS BONITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA ESTADAL UNITARIA LOS YOPITOS,N/A,336,234,234,230,4,N/A,1,0,0,1,1,45,183
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,UNIDAD EDUCATIVA NACIONAL IMATACA,N/A,2842,1729,1729,1688,41,N/A,5,1,1,2,16,899,769
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. BARCELONETA,ESCUELA INTEGRAL BOLIVARIANA PARUPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SANTA BARBARA,ESCUELA INTEGRAL BOLIVARIANA NUEVA FORTUNA,N/A,303,190,190,186,4,N/A,1,1,0,0,2,68,115
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SANTA BARBARA,ESCUELA BASICA SANTA BARBARA,N/A,1640,1213,1213,1170,43,N/A,3,0,1,0,9,502,658
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SANTA BARBARA,ESCUELA MUNICIPAL LA GRAN VIA,N/A,91,61,61,60,1,N/A,1,0,0,0,0,14,46
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,PQ. SANTA BARBARA,ESCUELA UNITARIA COSTA RICA,N/A,97,41,41,39,2,N/A,1,0,0,0,0,14,25
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,ESCUELA NACIONAL UNITARIA 3105,N/A,154,64,64,64,0,N/A,1,0,0,0,1,25,38
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,ESCUELA BOLIVARIANA NACIONAL MEREICITO,N/A,100,81,81,76,5,N/A,1,0,1,0,2,28,45
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,UNIDAD EDUCATIVA BOLIVARIANA TOCOMA,N/A,1785,1353,1353,1326,27,N/A,3,0,1,0,9,557,759
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,ESCUELA CONCENTRADA ESTADAL 3 124 127 ( LUISA CACERES DE ARISMENDI ),N/A,330,219,219,214,5,N/A,1,0,0,0,1,56,157
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,FUNDACION CULTIRAL GURI,N/A,864,691,691,675,16,N/A,2,0,0,0,4,99,572
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,UNIDAD EDUCATIVA GENERAL PIAR,N/A,3933,3163,3163,3121,42,N/A,7,0,1,2,21,1906,1191
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,LINO MARADEI DONATO,N/A,507,403,403,395,8,N/A,1,0,0,0,1,173,221
EDO. BOLIVAR,MP. BLVNO ANGOSTURA,CM. CIUDAD PIAR,COLEGIO DIVINA PASTORA,N/A,524,410,410,408,2,N/A,1,0,0,0,5,242,161
