Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,ESCUELA BASICA BOLIVARIANA LA LUZ (NUCLEO ESCOLAR RURAL 49),N/A,472,415,415,409,6,N/A,1,0,0,0,1,218,190
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,N/A,11722,10484,10484,10375,109,N/A,22,1,9,11,29,8365,1960
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA SAN DIEGO DE ALCALA,N/A,2456,2197,2197,2171,26,N/A,5,1,0,0,8,1388,774
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,GRUPO ESCOLAR QUEIPA,N/A,6738,5606,5606,5529,77,N/A,12,1,4,3,22,3868,1631
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA LA JOSEFINA,N/A,1175,1034,1034,1009,25,N/A,2,0,0,0,3,369,637
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,LICEO HIPOLITO CISNEROS,N/A,6384,5544,5544,5497,47,N/A,12,1,4,6,17,4100,1369
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA CREACION SAN DIEGO NORTE,N/A,3248,3052,3052,3027,25,N/A,6,0,1,2,8,2209,807
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA NACIONAL CAMPO SOLO,N/A,4296,3539,3539,3482,57,N/A,8,0,3,2,20,1468,1989
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA ESTADAL SANTIAGO MARIÑO,N/A,7330,6470,6470,6423,47,N/A,13,1,1,3,18,5160,1240
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,ESCUELA BASICA NACIONALCLORINDA AZCUÑES,N/A,3846,3546,3546,3514,32,N/A,7,2,1,0,9,2796,706
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA LOS MAGALLANES,N/A,2483,2009,2009,1984,25,N/A,5,1,1,1,16,866,1099
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,INSTITUTO UNIVERSITARIO DE TECNOLOGIA DE SEGURIDAD INDUSTRIAL,N/A,4872,4217,4217,4167,50,N/A,9,1,3,3,21,2892,1247
EDO. CARABOBO,MP. SAN DIEGO,PQ. URB SAN DIEGO,UNIDAD EDUCATIVA PRIVADO VIRGEN DE COROMOTO,N/A,4264,3724,3724,3695,29,N/A,8,0,3,0,12,3040,640
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,CENTRO EDUCACION INICIAL GUAPARO,N/A,885,728,728,716,12,N/A,2,0,0,0,5,183,528
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA NACIONAL BOLIVARIANA LOS CERRITOS,N/A,5692,4895,4895,4822,73,N/A,10,0,3,1,21,2940,1857
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA SIMON JOSE GUEDEZ ORTIZ,N/A,837,693,693,684,9,N/A,2,0,0,0,4,159,521
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD BASICA RAMONA DE ROMERO,N/A,2190,1809,1809,1785,24,N/A,4,0,0,0,2,935,848
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,INSTITUTO DE EDUCACION ESPECIAL LAS AGUITAS,N/A,3095,2513,2513,2476,37,N/A,6,2,3,2,13,980,1476
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA DIVINO NIÑO,N/A,1685,1277,1277,1259,18,N/A,3,0,0,0,8,484,767
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA LUISA TERESA DE MONTEMAYOR,N/A,2433,1922,1922,1893,29,N/A,5,1,2,1,9,305,1575
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA NACIONAL PIRITAL,N/A,1064,834,834,813,21,N/A,2,1,0,2,2,158,650
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,GRUPO ESCOLAR LOS HIJOS DE BOLIVAR,N/A,2698,2166,2166,2131,35,N/A,5,2,0,3,20,350,1756
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,JARDIN DE INFANCIA EL ROBLE,N/A,2287,1598,1598,1574,24,N/A,4,0,2,1,11,376,1184
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,GRUPO ESCOLAR BATALLA DE AYACUCHO,N/A,4908,4123,4123,4035,88,N/A,9,3,3,1,31,1479,2518
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,NAPIS DE GARCILLERA III,N/A,432,359,359,354,5,N/A,1,0,0,0,4,110,240
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BOLIVARIANA LOS CERRITOS,N/A,5248,4523,4523,4451,72,N/A,9,1,3,2,34,2441,1970
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA TECNOLOGICA RURAL FRANCISCO DE MIRANDA,N/A,947,752,752,731,21,N/A,2,0,0,0,2,200,529
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA LICENCIADA ELISA GUEVARA DE CACERES,N/A,3137,2476,2476,2408,68,N/A,6,0,2,0,14,964,1428
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA JUAN PABLO PEREZ,N/A,714,595,595,578,17,N/A,2,1,0,0,2,160,415
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA NACIONAL LAS AGUITAS I Y II JULIO GARMENDIA,N/A,2708,2242,2242,2189,53,N/A,5,0,0,1,9,800,1379
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ANEXO RURAL 6,N/A,3508,2508,2508,2468,40,N/A,7,0,2,2,21,924,1519
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,MATERNAL PANCHITO MANDEFUA,N/A,892,776,776,762,14,N/A,2,0,1,0,3,168,590
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA JACINTO LARA III,N/A,1715,1263,1263,1228,35,N/A,3,0,2,0,6,388,832
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA JUAN VICENTE GONZALEZ DELGADO,N/A,491,428,428,421,7,N/A,1,0,0,0,1,38,382
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,JARDIN DE INFANCIA CABRIALES,N/A,3126,2420,2420,2361,59,N/A,6,1,1,4,9,656,1690
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,CENTRO EDUCACION INICIAL LIBERTADOR,N/A,638,467,467,453,14,N/A,2,0,0,0,2,103,348
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,LICEO BOLIVARIANO COMUN ANDRES BELLO,N/A,1078,884,884,872,12,N/A,2,0,0,0,3,334,535
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA ESTADAL SANTISIMA TRINIDAD,N/A,4214,3567,3567,3491,76,N/A,8,1,3,1,20,1416,2050
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA ARTURO USLAR PIETRI,N/A,1684,1374,1374,1354,20,N/A,3,0,2,0,4,407,941
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA. BASICA ESTADAL MIGUEL OTERO SILVA,N/A,560,455,455,445,10,N/A,1,0,0,1,2,92,350
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,GRUPO ESCOLAR YORACO,N/A,6795,5415,5415,5288,127,N/A,12,2,2,2,35,1563,3684
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,JARDIN DE INFANCIA LAS AGUITAS,N/A,3806,3058,3058,3004,54,N/A,7,1,2,2,13,959,2027
