Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,ESCUELA  PRIMARIA   BOLIVARIANA  NICOLAS DE CASTRO,N/A,2898,2325,2325,2268,57,N/A,5,0,2,1,10,888,1367
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,LICEO BOLIVARIANO HIGINIO MORALES,N/A,2805,2315,2315,2264,51,N/A,5,1,2,1,19,801,1440
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,CENTRO DE EDUCACION INICIAL QUEBRADA DE AGUA,N/A,186,169,169,167,2,N/A,1,0,0,0,0,7,160
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,ESCUELA  ESTADAL  LA NUÑERA,N/A,620,456,456,442,14,N/A,2,0,0,1,3,97,341
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,ESCUELA MUNICIPAL UNITARIA NUMERO  2,N/A,244,152,152,149,3,N/A,1,0,0,0,2,12,135
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,ESCUELA ESTADAL UNITARIA NUMERO 75,N/A,512,379,379,376,3,N/A,1,0,0,0,0,60,316
EDO. COJEDES,MP. GIRARDOT,PQ. EL BAUL,ESCUELA  ESTADAL NUMERO 241 ZANJA DE LIRA,N/A,242,184,184,182,2,N/A,1,0,0,0,0,31,151
EDO. COJEDES,MP. GIRARDOT,PQ. SUCRE,ESCUELA BOLIVARIANA LA PALMITA,N/A,357,308,308,305,3,N/A,1,0,0,0,0,49,256
EDO. COJEDES,MP. GIRARDOT,PQ. SUCRE,ESCUELA  ESTADAL  FRANCISCO VILLANUEVA,N/A,825,658,658,650,8,N/A,2,0,0,2,8,190,450
EDO. COJEDES,MP. GIRARDOT,PQ. SUCRE,ESCUELA  BASICA CONCONCENTRADA  SIN NUMERO NUCLEO 400,N/A,381,283,283,281,2,N/A,1,0,0,0,4,35,242
EDO. COJEDES,MP. GIRARDOT,PQ. SUCRE,ESCUELA  BASICA  CONCENTRADA  CHIVERRY,N/A,142,108,108,106,2,N/A,1,0,0,0,0,22,84
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  ESTADAL  CONCENTRADA NUMERO 96 103,N/A,437,363,363,351,12,N/A,1,0,0,1,1,62,287
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA BOLIVARIANA  JOSE LAURENCIO SILVA,N/A,3458,2794,2794,2735,59,N/A,6,1,1,1,18,1472,1242
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA PRIMARIA LA CRUZ,N/A,94,89,89,89,0,N/A,1,0,0,0,0,18,71
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,CENTRO DE EDUCACION EL MIJAGUA,N/A,395,353,353,346,7,N/A,1,0,0,1,3,30,312
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA PRIMARIA CAMORUCO,N/A,390,356,356,344,12,N/A,1,1,0,0,1,84,258
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA BASICA UNITARIA EL SOCORRO,N/A,59,55,55,52,3,N/A,1,0,0,0,0,9,43
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA RURAL ORUPE,N/A,861,677,677,663,14,N/A,2,0,0,1,6,162,494
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,JARDIN DE INFANCIA BOLIVARIANO TINACO,N/A,591,495,495,484,11,N/A,1,0,0,0,0,181,303
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,CENTRO DE EDUCACION INICIAL ESTEFANA GONZALEZ,N/A,318,283,283,274,9,N/A,1,0,0,0,2,42,230
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA BASICA JOSE CARRILLO MORENO,N/A,415,378,378,371,7,N/A,1,0,0,0,0,118,253
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA BOLIVARINA  PEDRO DUARTE,N/A,1347,1101,1101,1084,17,N/A,3,0,1,0,8,333,742
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA BOLIVARIANA  JOSE MARIA VARGAS,N/A,1014,819,819,799,20,N/A,2,0,0,0,2,215,582
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA  AURA DE TERAN,N/A,1393,1096,1096,1068,28,N/A,3,0,0,1,5,307,755
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,UNIDAD  EDUCATIVA  DE EDUCACIÒN  ESPECIAL TINACO,N/A,1420,1188,1188,1163,25,N/A,3,0,0,1,9,501,652
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,CENTRO DE EDUCACION INICIAL COLINAS DE SAN LORENZO TINACO,N/A,451,371,371,358,13,N/A,1,0,0,0,2,53,303
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  ESTADAL CONCENTRADA  NUMERO  151 236 LAS TEJAS,N/A,343,271,271,264,7,N/A,1,0,0,0,3,75,186
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA  FRANCISCO MARIA ARIAS,N/A,3396,2725,2725,2655,70,N/A,6,0,2,2,6,935,1710
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA BASICA GUANMONTEY,N/A,262,239,239,234,5,N/A,1,0,0,0,0,7,227
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,LICEO TECNICO ROBINSONIANO  SIXTO SOSA,N/A,1859,1542,1542,1510,32,N/A,4,0,0,0,13,564,933
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA PRIMARIA UNITARIA CHAPARRAL,N/A,108,105,105,103,2,N/A,1,0,0,0,0,14,89
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA ESTADAL LA VILLEGUERA,N/A,252,223,223,216,7,N/A,1,0,0,0,0,29,187
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA BOLIVARIANA CREACIÒN  TINACO,N/A,2118,1763,1763,1698,65,N/A,4,0,2,1,13,513,1169
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA  CARLOS QUINTERO ALEGRIA,N/A,2128,1702,1702,1656,46,N/A,4,0,0,4,12,464,1176
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA UNITARIA NUMERO 101,N/A,499,397,397,387,10,N/A,1,0,0,1,1,92,293
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,GRUPO ESCOLAR COAHERI,N/A,2111,1750,1750,1704,46,N/A,4,0,1,1,10,700,992
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA ESTADAL CONCENTRADA MACANILLA,N/A,232,178,178,175,3,N/A,1,1,0,0,1,47,126
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA CONCENTRADA CARIAQUITO,N/A,181,170,170,168,2,N/A,1,0,1,0,0,40,127
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA  ESTADAL PARAGUITO,N/A,139,95,95,89,6,N/A,1,0,0,0,1,30,58
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA BOLIVARIANA CAMPO ALEGRE,N/A,126,116,116,116,0,N/A,1,0,0,0,0,23,93
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA CONCENTRADA ESCOLAR LA SIERRA,N/A,533,425,425,421,4,N/A,1,0,0,0,3,132,286
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL UNITARIA LA FLORIDA,N/A,96,76,76,75,1,N/A,1,0,0,0,0,16,59
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL UNITARIA  NUCLEO 322,N/A,79,72,72,71,1,N/A,1,0,0,0,0,6,65
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL LAS TUCURAGUAS 114,N/A,170,129,129,127,2,N/A,1,0,0,0,2,49,76
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL UNITARIA TIO AGUSTIN,N/A,177,78,78,75,3,N/A,1,0,0,0,0,4,71
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO ALEJANDRO FEBRES,N/A,340,305,305,298,7,N/A,1,0,1,0,1,61,235
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA ANDRES ELOY BLANCO,N/A,2719,2217,2217,2160,57,N/A,5,1,0,6,17,779,1357
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA RAMON ANTONIO VILLEGAS,N/A,802,682,682,669,13,N/A,2,1,0,1,3,157,507
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL UNITARIA NUMERO 102,N/A,246,213,213,208,5,N/A,1,0,0,0,1,8,199
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACIÒN INICIAL EL PAUJIL,N/A,895,741,741,724,17,N/A,2,1,1,0,2,389,331
