Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,GRUPO ESCOLAR BACHILLER VIDAL,N/A,2332,1905,1905,1850,55,N/A,4,0,1,1,14,1007,827
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,BIBLIOTECA PUBLICA SIMON BOLIVAR,N/A,275,244,244,239,5,N/A,1,0,0,0,3,95,141
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CONCENTRADA ESCOLAR LEONCIO MARTINEZ,N/A,716,580,580,573,7,N/A,2,0,0,0,7,214,352
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CASA COMUNAL,N/A,725,648,648,638,10,N/A,2,1,0,0,10,315,312
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,MEDICATURA EL JOBO,N/A,254,219,219,214,5,N/A,1,0,1,0,4,90,119
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA BÁSICA CRISTOBAL COLÓN,N/A,266,215,215,209,6,N/A,1,0,0,0,0,39,170
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CASA DE LOS NIÑOS DELTANOS,N/A,327,289,289,278,11,N/A,1,0,1,0,1,94,182
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CASA COMUNAL VILLA BOLIVARIANA,N/A,302,256,256,247,9,N/A,1,0,0,0,3,84,160
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA BASICA LUISA TABLANTE DE MARCANO,N/A,1071,899,899,876,23,N/A,2,1,0,0,6,374,495
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CENTRO DE EDUCACION INICIAL,N/A,311,281,281,277,4,N/A,1,0,0,1,6,124,146
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA CONCENTRADA NUMERO 29 LAS MULAS,N/A,210,172,172,169,3,N/A,1,0,0,0,1,51,117
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,INSTITUTO UNIVERSITARIO DE TECNOLOGIA DOCTOR DELFIN MENDOZA,N/A,863,708,708,687,21,N/A,2,1,0,1,8,292,385
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,CENTRO DE EDUCACION INICIAL ROMULO GALLEGOS,N/A,750,678,678,659,19,N/A,2,0,0,0,5,408,246
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA CONCENTRADA  BOLIVARIANA LOS GÜIRES,N/A,197,157,157,157,0,N/A,1,0,0,1,2,10,144
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA ANDRES BELLO,N/A,587,362,362,355,7,N/A,1,0,0,0,5,108,242
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,ESCUELA BASICA ANGELICA DE FERMIN,N/A,1212,1033,1033,1014,19,N/A,3,0,0,0,10,490,514
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JOSE VIDAL MARCANO,MODULO NEGRO PRIMERO,N/A,160,128,128,125,3,N/A,1,0,0,0,2,67,56
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA CONCENTRADA BOLIVARIANA  SANTIAGO MARIÑO,N/A,55,48,48,48,0,N/A,1,0,0,0,0,2,46
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,UNIDAD EDUCATIVA MI PEQUEÑO MUNDO,N/A,405,359,359,345,14,N/A,1,0,1,0,3,142,199
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,GRUPO ESCOLAR BACHILLER JOSE GABRIEL LANZA,N/A,807,649,649,614,35,N/A,2,0,1,0,5,268,340
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CONCENTRADA ESCUELA CONDE CABALLERO,N/A,223,175,175,173,2,N/A,1,0,0,0,2,60,111
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CONCENTRACION ESCOLAR NUMERO 6,N/A,304,209,209,205,4,N/A,1,0,0,0,2,51,152
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CASA COMUNAL LA VICTORIA,N/A,148,128,128,125,3,N/A,1,0,0,0,1,36,88
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA ANTONIO JOSE DE SUCRE,N/A,711,556,556,543,13,N/A,2,0,0,0,7,146,390
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,U.E.N. BOLIVARIANA CACIQUE GUAICAIPURO,N/A,247,210,210,201,9,N/A,1,1,0,1,0,25,174
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA CONCENTRADA NUMERO 2,N/A,107,87,87,86,1,N/A,1,0,0,0,1,15,70
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA CONCENTRADA NUMERO 7,N/A,86,73,73,71,2,N/A,1,0,0,0,1,25,45
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CONCENTRACION ESCOLAR NUMERO 93,N/A,257,139,139,134,5,N/A,1,2,0,0,1,17,114
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,LICEO JOSE ENRIQUE RODO,N/A,350,299,299,286,13,N/A,1,0,0,0,2,85,199
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,PREESCOLAR MIGUEL OTERO SILVA,N/A,64,62,62,60,2,N/A,1,0,0,0,0,12,48
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA FERMIN TORO,N/A,262,179,179,176,3,N/A,1,1,0,0,1,81,93
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CONCENTRACION ESCOLAR NUMERO 19,N/A,262,151,151,150,1,N/A,1,0,0,0,0,25,125
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,E.B. CONC. BOLIV. ROMULO GALLEGOS,N/A,154,122,122,120,2,N/A,1,2,0,1,1,8,108
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,GRUPO ESCOLAR CARLOS RAFAEL CONTRERAS,N/A,2288,1790,1790,1727,63,N/A,4,0,0,0,15,817,895
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,OFICINA DE OBRAS PUBLICAS ESTADALES,N/A,265,231,231,223,8,N/A,1,1,0,0,4,75,143
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,BIBLIOTECA JOSE VALZA,N/A,127,115,115,114,1,N/A,1,0,0,0,1,31,82
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,JARDIN DE INFANCIA LA GLORIA,N/A,557,474,474,464,10,N/A,1,0,0,1,6,172,285
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,GERIATRICO MENCA DE LEONI,N/A,322,246,246,236,10,N/A,1,0,0,0,1,71,164
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA EULALIA BUROZ,N/A,175,121,121,118,3,N/A,1,0,0,1,0,18,99
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,DEPOSITO MINISTERIO DE SANIDAD,N/A,416,352,352,343,9,N/A,1,0,1,0,4,146,192
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,CASA COMUNAL EL GARCERO,N/A,115,95,95,94,1,N/A,1,0,0,0,1,13,80
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN RAFAEL,ESCUELA CONCENTRADA NUMERO 137,N/A,64,36,36,34,2,N/A,1,0,0,0,0,1,33
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,CENTRO DE EDUCACION INICIAL TERESA EDUARDO,N/A,127,118,118,116,2,N/A,1,0,0,0,0,24,92
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,CASA COMUNAL SAN JOSE,N/A,100,96,96,93,3,N/A,1,0,0,0,0,10,83
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,CENTRO COMUNITARIO LA FLORIDA,N/A,456,398,398,389,9,N/A,1,0,0,0,3,95,291
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,ESCUELA ROSA DE TENORIO,N/A,606,507,507,493,14,N/A,2,1,0,0,5,140,347
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,UNIDAD EDUCATIVA BOLIVARIANA DOCTOR  JOSE GREGORIO HERNANDEZ,N/A,154,109,109,106,3,N/A,1,0,0,1,0,32,73
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,E.B.E. CONC. BOLIV. N° 13 REMANZON,N/A,147,113,113,103,10,N/A,1,0,0,0,0,19,84
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,PRESCOLAR NI#O SIMON,N/A,78,73,73,72,1,N/A,1,0,0,0,0,12,60
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,CENTRO INTEGRAL CENTRO POBLADO DE COCUINA,N/A,112,105,105,105,0,N/A,1,1,0,0,0,9,95
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,ESCUELA BASICA CARDENAL JOSE QUINTERO,N/A,387,326,326,321,5,N/A,1,0,0,0,4,110,207
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,E.B.N. CONC. BOLIV. ANDRES ELOY BLANCO,N/A,105,103,103,101,2,N/A,1,0,0,0,0,3,98
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,GRUPO ESCOLAR TERESA EDUARDO,N/A,819,570,570,563,7,N/A,2,0,0,0,3,139,421
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,GRUPO ESCOLAR LA FLORIDA,N/A,759,644,644,612,32,N/A,2,1,0,0,6,329,276
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,LICEO BOLIVARIANO TERESA EDUARDO,N/A,48,44,44,44,0,N/A,1,0,0,0,0,11,33
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,ESCUELA UNITARIA SIN NUMERO,N/A,266,235,235,229,6,N/A,1,0,0,0,4,109,116
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,ESCUELA MANUEL DIAZ RODRIGUEZ,N/A,383,295,295,291,4,N/A,1,0,0,0,3,85,203
EDO. DELTA AMAC,CE. TUCUPITA,PQ. VIRGEN DEL VALLE,ESCUELA UNITARIA NUMERO 22,N/A,218,185,185,181,4,N/A,1,0,0,0,2,55,124
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,ASOAGNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,ESCUELA DOCTOR JOSE MARIA VARGAS,N/A,920,728,728,702,26,N/A,2,1,0,0,6,268,427
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,CONCENTRADA ESCOLAR NUMERO 74,N/A,839,680,680,666,14,N/A,2,0,1,0,5,286,374
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,ESCUELA SIMON RODRIGUEZ,N/A,2776,2144,2144,2050,94,N/A,5,2,3,1,22,936,1086
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,PREESCOLAR CAPITAN DE NAVIO ANTONIO DIAZ,N/A,509,406,406,397,9,N/A,1,0,1,0,3,163,230
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,CASA COMUNAL AGUA NEGRA,N/A,141,119,119,113,6,N/A,1,0,0,0,2,24,87
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,CASA COMUNAL EL PALOMAR,N/A,408,353,353,343,10,N/A,1,0,0,0,6,112,225
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,CENTRO DE EDUCACION INICIAL BOLIVARIANO MANUELITA SAENZ,N/A,228,199,199,194,5,N/A,1,1,0,0,3,70,120
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA YAKARIYENE,N/A,288,261,261,261,0,N/A,1,2,1,1,1,48,208
EDO. DELTA AMAC,CE. TUCUPITA,PQ.MCL.ANTONIO J DE SUCRE,CONSULTORIO POPULAR YAKARIYENI,N/A,99,95,95,89,6,N/A,1,0,0,0,0,16,73
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,CASA COMUNAL CAMPO FLORIDO,N/A,140,121,121,118,3,N/A,1,0,0,0,0,15,103
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,SALA DE BATALLA CAMPO FLORIDO,N/A,107,85,85,85,0,N/A,1,0,0,0,0,7,78
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA CONCENTRADA NUMERO 5,N/A,430,320,320,320,0,N/A,1,0,0,0,0,42,278
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA JOSE LUIS RAMOS,N/A,589,416,416,408,8,N/A,1,1,0,1,3,152,251
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,CENTRO MEDICO BOCA DE MACAREO,N/A,125,106,106,106,0,N/A,1,0,0,0,1,12,93
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,CBIT DE MACAREITO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,GRUPO ESCOLAR DOCTOR RAUL VAN PRAG,N/A,343,284,284,281,3,N/A,1,0,0,0,1,124,156
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA GUARA CARAPAL,N/A,1092,880,880,851,29,N/A,2,1,1,0,9,343,497
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA CONCENT NUMERO 12,N/A,248,157,157,153,4,N/A,1,0,0,0,1,8,144
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA CONCENTRADA NUMERO 26,N/A,565,313,313,313,0,N/A,1,0,0,0,0,3,310
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA DIEGO CARBONELL,N/A,637,491,491,480,11,N/A,2,1,0,0,9,91,379
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,LICEO JOSE ANTONIO PAEZ,N/A,395,329,329,324,5,N/A,1,0,0,0,3,102,219
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA CONCENTRADA DE MARIUSA,N/A,353,275,275,272,3,N/A,1,1,0,3,2,6,260
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,ESCUELA CONCENTRADA NUMERO 38,N/A,400,254,254,253,1,N/A,1,0,0,0,0,18,235
EDO. DELTA AMAC,CE. TUCUPITA,PQ. JUAN MILLAN,CONCENTRACION ESCOLAR NUMERO 1,N/A,1005,746,746,733,13,N/A,2,1,0,4,10,211,507
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,GRUPO ESCOLAR CARABOBO,N/A,1602,1321,1321,1282,39,N/A,3,1,1,0,15,592,673
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,SECRETARIA GENERAL SECTORIAL DE DESARROLLO SOCIAL,N/A,564,403,403,391,12,N/A,1,0,1,0,4,215,171
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,ESCUELA ARTES Y OFICIOS MELANIA DE BRITO,N/A,128,115,115,111,4,N/A,1,0,0,0,0,51,60
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,COLEGIO SAGRADA FAMILIA,N/A,1304,1038,1038,1018,20,N/A,3,0,1,0,12,634,371
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,INSTITUTO DE MEJORAMIENTO PROFESIONAL DEL MAGISTERIO,N/A,634,499,499,491,8,N/A,2,0,0,0,2,264,225
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,GRUPO ESCOLAR PETION,N/A,1844,1456,1456,1430,26,N/A,4,1,1,0,13,820,595
EDO. DELTA AMAC,CE. TUCUPITA,PQ. SAN JOSE,INCES,N/A,179,150,150,146,4,N/A,1,0,0,0,0,67,79
EDO. DELTA AMAC,CE. TUCUPITA,PQ. MONS. ARGIMIRO GARCIA,PARQUE DE RECREACION DE TUCUPITA II,N/A,1749,1429,1429,1376,53,N/A,3,1,1,0,11,621,742
EDO. DELTA AMAC,CE. TUCUPITA,PQ. MONS. ARGIMIRO GARCIA,PARQUE CENTRAL TUCUPITA,N/A,1639,1363,1363,1314,49,N/A,3,1,0,2,12,578,721
EDO. DELTA AMAC,CE. TUCUPITA,PQ. MONS. ARGIMIRO GARCIA,CASA PARROQUIAL ARGIMIRO GARCIA,N/A,95,74,74,73,1,N/A,1,0,0,0,0,22,51
EDO. DELTA AMAC,CE. TUCUPITA,PQ. MONS. ARGIMIRO GARCIA,CENTRO DE EDUCACION INICIAL ESTADAL. BOLIVARIANO CEFERINO ROJAS,N/A,289,269,269,264,5,N/A,1,0,0,0,2,115,147
