Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,ESCUELA BÁSICA NACIONAL BOLIVARIANA LEÓN TRUJILLO,N/A,941,793,793,774,19,N/A,2,0,1,0,0,218,555
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA REPUBLICA DE BOLIVIA,N/A,2943,2278,2278,2234,44,N/A,5,1,4,3,17,1062,1147
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,ESCUELA BÁSICA NACIONAL PARROQUIA LA PASTORA,N/A,1136,926,926,913,13,N/A,2,0,1,1,6,392,513
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA NACIONAL CANAIMA,N/A,255,204,204,199,5,N/A,1,0,0,1,1,40,157
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA PRIVADA MONSEÑOR CASTILLO,N/A,906,782,782,766,16,N/A,2,0,2,3,3,444,314
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA LICEO BOLIVARIANO AGUSTÍN AVELEDO,N/A,4127,3237,3237,3182,55,N/A,8,1,0,1,11,1635,1534
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,MODULO BARRIO ADENTRO UNION Y FUERZA,N/A,404,335,335,329,6,N/A,1,0,1,0,0,49,279
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,ASOCIACION CIVIL COMUNITARIAA LA DIVINA PASTORA,N/A,145,111,111,110,1,N/A,1,0,0,0,1,35,74
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,ESCUELA BÁSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER,N/A,1552,1240,1240,1228,12,N/A,3,0,1,1,5,654,567
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL (CMAI) LA PASTORA,N/A,230,191,191,185,6,N/A,1,0,0,0,0,49,136
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO,N/A,3644,3008,3008,2961,47,N/A,7,0,4,2,19,1491,1445
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,PRE ESCOLAR MANUEL CABRÉ,N/A,1008,823,823,814,9,N/A,2,0,1,0,1,425,387
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA JOSÉ IGNACIO PAZ CASTILLO,N/A,1564,1230,1230,1209,21,N/A,3,0,2,1,5,598,603
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA 5 DE JULIO,N/A,1852,1431,1431,1405,26,N/A,4,1,1,1,9,768,625
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,ANTIGUO IPOSTEL,N/A,256,224,224,222,2,N/A,1,1,0,0,0,55,166
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI,N/A,4313,3434,3434,3386,48,N/A,8,0,3,0,13,1261,2109
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,MATERNAL MANUEL CABRÉ,N/A,610,506,506,501,5,N/A,2,0,0,0,1,293,207
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA SAN FRANCISCO JAVIER,N/A,3548,2923,2923,2871,52,N/A,6,0,5,1,18,1423,1424
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,UNIDAD EDUCATIVA DISTRITAL JOSÉ GIL FORTUL,N/A,2108,1672,1672,1643,29,N/A,4,1,1,1,4,891,745
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,LICEO BOLIVARIANO PERÚ DE LA CROIX,N/A,3308,2774,2774,2743,31,N/A,6,1,4,4,18,1224,1492
DTTO. CAPITAL,CE. BLVNO LIBERTADOR,PQ. LA PASTORA,GRAN FRATERNIDAD UNIVERSAL. FUNDACIÓN DOCTOR SERGE RAYNAUO DE LA FERRIERE,N/A,1133,910,910,894,16,N/A,2,0,1,1,4,463,425
