Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA LOS TIGRESITOS,N/A,592,374,374,340,34,N/A,1,0,0,0,0,100,240
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BÁSICA ELIAS DAVID CURIEL,N/A,2154,1722,1722,1669,53,N/A,4,1,0,1,6,871,790
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA ANDRES ELOY BLANCO,N/A,626,571,571,559,12,N/A,2,0,0,0,5,149,405
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA LA GURUPA,N/A,293,232,232,228,4,N/A,1,0,0,0,2,46,180
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BASICA BOLIVARIANA LOS CORTIJOS,N/A,1743,1483,1483,1448,35,N/A,3,1,1,2,6,729,709
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA KILOMETRO 52,N/A,96,84,84,80,4,N/A,1,0,0,0,0,16,64
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,UNIDAD EDUCATIVA VIRGINIA GIL DE HERMOSO,N/A,1313,1045,1045,1021,24,N/A,3,0,0,2,9,531,479
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA EL LAMEDERO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA ESTADAL BOLIVARIANA LA CEIBA,N/A,215,181,181,178,3,N/A,1,0,0,0,0,42,136
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA KILOMETRO 16,N/A,308,278,278,272,6,N/A,1,0,0,0,2,67,203
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA UVERITO,N/A,146,123,123,121,2,N/A,1,0,0,0,1,40,80
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA ESTADAL UNITARIA CERRO ABAJO,N/A,71,67,67,67,0,N/A,1,1,0,0,1,19,46
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA RIO CHIQUITO,N/A,139,116,116,111,5,N/A,1,0,0,0,1,15,95
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,CENTRO DE EDUCACION INICIAL  BOLIVARIANO ELIAS DAVID CURIEL,N/A,1759,1417,1417,1386,31,N/A,3,1,0,2,8,616,759
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA BOLIVARIANA LA FORTALEZA,N/A,381,300,300,295,5,N/A,1,0,0,0,4,45,246
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA PRIMARIA KM 6,N/A,714,574,574,562,12,N/A,2,0,0,2,6,201,353
EDO. FALCON,MP. MAUROA,PQ. MENE DE MAUROA,ESCUELA ESTADAL LA PUERTA NER 290,N/A,144,133,133,128,5,N/A,1,0,0,0,0,73,55
EDO. FALCON,MP. MAUROA,PQ. SAN FELIX,ESCUELA BOLIVARIANA CIVIRA,N/A,185,166,166,164,2,N/A,1,1,0,0,1,58,104
EDO. FALCON,MP. MAUROA,PQ. SAN FELIX,ESCUELA ESTADAL CORRALITO,N/A,574,420,420,418,2,N/A,1,0,0,0,4,147,267
EDO. FALCON,MP. MAUROA,PQ. SAN FELIX,ESCUELA BASICA ESTADAL EL LLANITO,N/A,106,98,98,96,2,N/A,1,0,0,0,1,23,72
EDO. FALCON,MP. MAUROA,PQ. SAN FELIX,UNIDAD EDUCATIVA VALMORES RODRÍGUEZ,N/A,520,386,386,383,3,N/A,1,0,0,0,6,180,197
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BASICA JOSÉ DE JESÚS JIMÉNEZ,N/A,524,408,408,395,13,N/A,1,0,0,0,1,123,271
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA ESTADAL BOLIVARIANA PACHECO,N/A,111,105,105,103,2,N/A,1,0,0,0,0,4,99
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA CUARENTA PESOS,N/A,200,152,152,147,5,N/A,1,0,0,0,0,24,123
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA LAS CRUCESITAS,N/A,528,452,452,438,14,N/A,1,1,0,0,2,79,356
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA ESTADAL BARRANCAS,N/A,285,224,224,217,7,N/A,1,1,0,0,3,33,180
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA CASIGUA,N/A,965,738,738,727,11,N/A,2,1,0,0,1,315,410
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA ESTADAL BOLIVARIANA CELSA DE AÑEZ,N/A,655,514,514,497,17,N/A,2,0,0,0,0,199,298
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA AUDIO J. VEGA,N/A,397,319,319,311,8,N/A,1,0,0,0,1,40,270
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA LOS HATICOS,N/A,79,71,71,67,4,N/A,1,0,0,0,1,8,58
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA LAS CRUCES,N/A,124,112,112,112,0,N/A,1,0,0,0,1,49,62
EDO. FALCON,MP. MAUROA,PQ. CASIGUA,ESCUELA BOLIVARIANA EL CASETAL,N/A,331,297,297,283,14,N/A,1,0,0,0,0,80,203
