Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. GUARICO,MP. ZARAZA,PQ. SAN JOSE DE UNARE,ESCUELA BOLIVARIANA DOCTOR BENITO GUTIERREZ LOPEZ,N/A,1652,1242,1242,1202,40,N/A,3,0,0,0,6,386,810
EDO. GUARICO,MP. ZARAZA,PQ. SAN JOSE DE UNARE,ESCUELA BASICA F 78 GUARIBITO,N/A,352,241,241,233,8,N/A,1,1,0,0,1,41,190
EDO. GUARICO,MP. ZARAZA,PQ. SAN JOSE DE UNARE,ESCUELA NACIONAL UNITARIA F 83 PALO SANO,N/A,262,191,191,187,4,N/A,1,0,0,1,3,46,137
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BASICA NACIONAL BONIFACIO GOMEZ,N/A,765,633,633,620,13,N/A,2,1,0,1,4,221,393
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BASICA NOHEMY HIGUERA DE GUZMAN,N/A,3136,2366,2366,2320,46,N/A,6,3,2,3,14,914,1384
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ALDEA UNIVERSITARIA BOLIVARIANA NUCLEO ZARAZA,N/A,431,322,322,314,8,N/A,1,0,0,0,6,50,258
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BASICA NACIONAL RÓMULO GALLEGOS,N/A,4993,3668,3668,3601,67,N/A,9,3,3,4,20,1254,2317
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BOLIVARIANA MAZAGUARO,N/A,380,243,243,236,7,N/A,1,0,0,1,2,34,199
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,LICEO BOLIVARIANO PADRE FRANCISCO HURTADO,N/A,814,631,631,621,10,N/A,2,0,0,2,5,185,429
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA PRIMARIA FC 17 LOS TAPARITOS,N/A,852,558,558,551,7,N/A,2,0,0,1,3,85,462
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,N/A,259,212,212,207,5,N/A,1,0,0,0,1,36,170
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BOLIVARIANA AGUA NEGRA,N/A,907,606,606,597,9,N/A,2,1,0,2,5,103,486
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA NACIONAL LA PEREÑA,N/A,74,59,59,59,0,N/A,1,0,0,0,1,5,53
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA ESTADAL DELFINA FEMAYOR DE MOLINA,N/A,3472,2662,2662,2625,37,N/A,6,0,1,1,22,671,1930
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA ESTADAL COLUMBA MENDOZA RODRIGUEZ,N/A,790,588,588,576,12,N/A,2,0,0,0,3,129,444
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA NACIONAL UNITARIA F 80 EL DIVIDIVI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA ESTADAL LA PIEDRA,N/A,407,263,263,260,3,N/A,1,1,0,1,1,57,200
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA CONCENTRADA FC 13 SANTA CRUZ DE UNARE,N/A,398,274,274,272,2,N/A,1,0,0,0,0,30,242
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BASICA ANTONIO JOSE SOTILLO,N/A,2178,1673,1673,1636,37,N/A,4,0,1,0,15,620,1000
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,LICEO EDUARDO DELFIN MENDEZ II,N/A,285,244,244,242,2,N/A,1,0,0,1,3,119,119
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,LICEO BOLIVARIANO GRAN MARISCAL DE AYACUCHO,N/A,128,83,83,82,1,N/A,1,0,0,0,0,10,72
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BOLIVARIANA ARTURO ALVAREZ ALAYÓN,N/A,1248,1032,1032,1013,19,N/A,3,0,0,1,8,341,663
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BOLIVARIANA TACALITO,N/A,1611,1178,1178,1164,14,N/A,3,1,1,2,9,210,941
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA ESTADAL OLGA ROJAS DE CABEZA,N/A,2571,1985,1985,1941,44,N/A,5,1,1,2,11,521,1405
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,CASA DE LA CULTURA ERNESTO LUIS RODRIGUEZ,N/A,465,378,378,374,4,N/A,1,0,0,0,4,185,185
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,LICEO EDUARDO DELFIN MENDEZ,N/A,3819,3103,3103,3056,47,N/A,7,2,0,2,25,1555,1472
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BASICA NACIONAL FRANCISCO SALIAS,N/A,4369,3477,3477,3427,50,N/A,8,1,1,2,24,1685,1714
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA BOLIVARIANA LA ESPERANZA,N/A,1250,867,867,859,8,N/A,3,1,0,0,2,44,812
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,CENTRO DE EDUCACION INICIAL FC 59 LAS LAGUNITAS,N/A,145,113,113,113,0,N/A,1,0,0,0,0,2,111
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,ESCUELA ESPECIALIDADES MERCEDES SOTILLO,N/A,128,115,115,115,0,N/A,1,0,0,0,0,30,85
EDO. GUARICO,MP. ZARAZA,PQ. ZARAZA,INSTITUTO DE EDUCACION BOLIVARIANA ESPECIAL ZARAZA,N/A,296,249,249,245,4,N/A,1,1,0,0,1,52,191
EDO. GUARICO,MP. CHAGUARAMAS,PQ. CHAGUARAMAS,SALA DE COMPUTACION CARLOS CORONADO,N/A,244,199,199,193,6,N/A,1,0,0,0,1,81,111
EDO. GUARICO,MP. CHAGUARAMAS,PQ. CHAGUARAMAS,BIBLIOTECA PUBLICA FLOR MARIA MANUITT,N/A,537,420,420,414,6,N/A,1,1,0,0,0,130,283
EDO. GUARICO,MP. CHAGUARAMAS,PQ. CHAGUARAMAS,ESCUELA BASICA DC 58 LAS CAMAZAS,N/A,165,90,90,87,3,N/A,1,0,0,1,0,32,54
EDO. GUARICO,MP. CHAGUARAMAS,PQ. CHAGUARAMAS,ESCUELA BASICA SAN LORENZO MARTIR,N/A,1213,953,953,914,39,N/A,3,0,0,2,7,302,603
EDO. GUARICO,MP. CHAGUARAMAS,PQ. CHAGUARAMAS,ESCUELA GC 37 MAMONAL,N/A,432,329,329,326,3,N/A,1,0,0,0,0,84,242
