Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA ESTADAL CONCENTRADA EL PLACER,N/A,71,59,59,57,2,N/A,1,0,0,0,1,25,31
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA ESTADAL FILA RICA DE LONDRES,N/A,83,69,69,69,0,N/A,1,0,0,0,1,28,40
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA NACIONAL CONCENTRADA BOLIVARIANA VILLORIN,N/A,354,293,293,291,2,N/A,1,0,0,0,3,34,254
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BASICA PALO VERDE,N/A,1511,1280,1280,1253,27,N/A,3,0,0,0,7,640,606
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA ANDRES ELOY BLANCO,N/A,1091,942,942,919,23,N/A,2,0,0,2,2,362,553
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA CAMPESINA FE Y ALEGRIA EL PORTACHUELO,N/A,236,211,211,211,0,N/A,1,0,0,0,0,18,193
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA ESTADAL LAS QUEBRADITAS 1,N/A,484,408,408,400,8,N/A,1,2,0,0,5,108,285
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA UNITARIA DE SABANA REDONDA ABAJO,N/A,577,471,471,465,6,N/A,1,0,0,0,0,67,398
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA EL JARILLAL,N/A,377,316,316,313,3,N/A,1,0,0,0,1,162,150
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA ESTADAL BOLIVARIANA HATO DE GUAPA,N/A,276,243,243,241,2,N/A,1,1,2,0,1,33,204
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA CASPO,N/A,455,378,378,374,4,N/A,1,0,0,0,1,37,336
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA BOJO,N/A,454,398,398,395,3,N/A,1,0,0,0,0,35,360
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,UNIDAD EDUCATIVA NACIONAL SABANA GRANDE,N/A,1462,1194,1194,1184,10,N/A,3,0,0,0,7,521,656
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA UNITARIA NUMERO 4113 MIRACUY,N/A,296,202,202,198,4,N/A,1,1,0,0,2,37,158
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA JORNADA COMPLETA ALTAMIRA,N/A,272,243,243,240,3,N/A,1,0,0,0,0,25,215
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,CENTRO DE EDUCACION INICIAL SIMONCITO EL VOLCANCITO,N/A,260,237,237,235,2,N/A,1,0,0,0,5,116,114
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,CASA DE LA CULTURA JOSE NEMESIO GODOY,N/A,1747,1425,1425,1390,35,N/A,3,1,1,0,7,812,569
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA TINTINAL,N/A,1049,803,803,789,14,N/A,2,1,1,1,3,166,617
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BASICA EL VOLCANCITO,N/A,1618,1401,1401,1374,27,N/A,3,0,0,2,11,790,571
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA MONTE CARMELO,N/A,570,489,489,479,10,N/A,1,0,0,0,0,58,421
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA NACIONAL BOLIVARIANA JORNADA COMPLETA PORTUGUESITA ARRIBA,N/A,59,54,54,53,1,N/A,1,0,0,0,2,5,46
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,OFICINA MUNICIPAL DE EDUCACION DE ANDRES ELOY BLANCO,N/A,373,338,338,329,9,N/A,1,0,1,0,0,119,209
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA NACIONAL BOLIVARIANA YAY,N/A,293,188,188,182,6,N/A,1,0,0,0,0,41,141
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA MANUEL ANTONIO CARREÑO,N/A,2994,2464,2464,2413,51,N/A,6,0,2,0,18,1394,999
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA BOLIVARIANA MEDIA JORNADA LA GUAPA,N/A,222,198,198,195,3,N/A,1,0,0,0,1,35,159
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,UNIDAD EDUCATIVA MATEO SEGUNDO VIERA,N/A,1275,1122,1122,1105,17,N/A,3,1,0,1,7,479,617
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,ESCUELA ESTADAL CONCENTRADA YACAMBU,N/A,752,555,555,548,7,N/A,2,1,0,1,5,118,423
EDO. LARA,MP. ANDRES E BLANCO,PQ. PIO TAMAYO,UNIDAD EDUCATIVA NACIONAL SANARE,N/A,1691,1414,1414,1381,33,N/A,3,0,1,0,10,790,580
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA BOLIVARIANA JORNADA COMPLETA LAS DAMAS,N/A,434,296,296,292,4,N/A,1,0,0,1,1,75,215
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,UNIDAD EDUCATIVA BRISAS DEL GUAICAL,N/A,136,126,126,124,2,N/A,1,0,0,1,1,10,112
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA ESTADAL UNITARIA CERRO DE SILLA,N/A,180,141,141,137,4,N/A,1,1,0,0,0,36,100
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA NUEZAL DE ESCALERA,N/A,232,151,151,147,4,N/A,1,0,0,0,0,34,113
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA BOLIVARIANA JORNADA COMPLETA EL HELECHAL,N/A,174,144,144,143,1,N/A,1,0,0,0,2,17,124
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA CONCENTRADA EL CERRON DE TAMBORAL,N/A,97,78,78,77,1,N/A,1,0,0,1,1,15,60
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA BOLIVARIANA JORNADA COMPLETA LAS VIRTUDES,N/A,425,315,315,308,7,N/A,1,0,0,0,0,101,207
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA CONCENTRADA ESTADAL CERRO BLANCO,N/A,313,238,238,231,7,N/A,1,0,1,0,1,68,161
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA NACIONAL CONCENTRADA EL NARANJAL,N/A,94,77,77,77,0,N/A,1,0,0,0,0,9,68
EDO. LARA,MP. ANDRES E BLANCO,PQ. YACAMBU,ESCUELA ESTADAL LUCIA INDIANA,N/A,288,194,194,189,5,N/A,1,1,0,1,2,106,79
