Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,UNIDAD EDUCATIVA TULIO FEBRES CORDERO,N/A,3007,2499,2499,2458,41,N/A,6,0,1,0,12,1705,740
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,COLEGIO NUESTRA SEÑORA DE BELEN,N/A,1400,1192,1192,1163,29,N/A,3,0,0,0,5,771,387
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,COLEGIO PRIVADO JARDIN FRANCISCANO,N/A,2954,2483,2483,2402,81,N/A,6,1,2,2,12,1180,1205
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,LICEO TULIO FEBRES CORDERO (B),N/A,480,413,413,405,8,N/A,1,1,2,0,5,239,158
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,ESCUELA BASICA NACIONAL RIVAS DAVILA,N/A,1102,911,911,903,8,N/A,2,1,0,0,0,567,335
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,UNIDAD EDUCATIVA EZEQUIEL ZAMORA,N/A,689,612,612,603,9,N/A,2,0,2,0,1,284,316
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,UNIDAD EDUCATIVA LA PUEBLITA,N/A,559,484,484,478,6,N/A,1,0,0,0,1,215,262
EDO. MERIDA,CE. LIBERTADOR,PQ. ARIAS,UNIDAD EDUC ELOY CHALBAUD,N/A,1992,1762,1762,1730,32,N/A,4,0,1,1,3,878,847
EDO. MERIDA,CE. LIBERTADOR,PQ. EL MORRO,ESCUELA ESTADAL NO 255,N/A,269,226,226,223,3,N/A,1,0,0,0,1,49,173
EDO. MERIDA,CE. LIBERTADOR,PQ. EL MORRO,ESCUELA BAS EST EL HATICO,N/A,82,59,59,56,3,N/A,1,0,0,0,0,7,49
EDO. MERIDA,CE. LIBERTADOR,PQ. EL MORRO,CONC AUGUSTO MALAVE VILLALBA,N/A,153,116,116,116,0,N/A,1,0,0,0,0,21,95
EDO. MERIDA,CE. LIBERTADOR,PQ. EL MORRO,GRUPO ESCOLAR JUAN DE DIOS DAVILA,N/A,795,642,642,629,13,N/A,2,0,0,0,1,272,356
EDO. MERIDA,CE. LIBERTADOR,PQ. EL MORRO,ESCUELA ESTADAL NO 384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. MERIDA,CE. LIBERTADOR,PQ. CARACCIOLO PARRA P,ESCUELA BASICA FERMIN RUIZ VALERO B,N/A,1471,1331,1331,1315,16,N/A,3,1,1,1,2,1021,289
EDO. MERIDA,CE. LIBERTADOR,PQ. CARACCIOLO PARRA P,JARDIN DE INF ELOY PAREDES,N/A,1744,1548,1548,1533,15,N/A,3,0,0,0,1,1244,288
EDO. MERIDA,CE. LIBERTADOR,PQ. CARACCIOLO PARRA P,ESCUELA BASICA FERMIN RUIZ VALERO,N/A,3213,2767,2767,2743,24,N/A,6,0,2,2,5,2072,662
EDO. MERIDA,CE. LIBERTADOR,PQ. CARACCIOLO PARRA P,ESCUELA. BASICA. ELOY PAREDES,N/A,3269,2731,2731,2694,37,N/A,6,1,3,1,7,2177,505
EDO. MERIDA,CE. LIBERTADOR,PQ. CARACCIOLO PARRA P,ESCUELA BASICA ELOY PAREDES (B),N/A,1260,1144,1144,1135,9,N/A,3,0,1,0,2,874,258
EDO. MERIDA,CE. LIBERTADOR,PQ. LOS NEVADOS,ESCUELA ESTADAL NUMERO 152,N/A,619,476,476,461,15,N/A,2,0,0,0,0,111,350
EDO. MERIDA,CE. LIBERTADOR,PQ. GONZALO PICON FEBRES,ESCUELA MUNICIPAL MARIA ADELA DE VIELMA,N/A,865,755,755,725,30,N/A,2,0,0,0,3,388,334
EDO. MERIDA,CE. LIBERTADOR,PQ. GONZALO PICON FEBRES,ESCUELA ESTADAL NUMERO 398,N/A,616,536,536,527,9,N/A,2,0,0,0,0,289,238
EDO. MERIDA,CE. LIBERTADOR,PQ. GONZALO PICON FEBRES,UNIDAD EDUCATIVA VITALIA GUTIERREZ DE R,N/A,2329,1941,1941,1908,33,N/A,4,3,0,0,7,987,911
EDO. MERIDA,CE. LIBERTADOR,PQ. GONZALO PICON FEBRES,ESCUELA BASICA EL PLAYON NUMERO 94,N/A,1103,950,950,933,17,N/A,2,1,0,2,4,545,381
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,UNIDAD EDUCATIVA DOCTOR RAMON REINOZO NUÑEZ (B),N/A,945,839,839,829,10,N/A,2,1,1,0,5,491,331
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,COLEGIO SAN JOSE DE LA SIERRA,N/A,1388,1225,1225,1207,18,N/A,3,2,2,0,3,875,325
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,ESCUELA BASICA CAMILO CONTRERAS,N/A,2571,2182,2182,2129,53,N/A,5,0,0,0,7,1196,926
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,JARDIN DE INFANCIA VICENTE DAVILA,N/A,1026,865,865,858,7,N/A,2,0,1,0,6,512,339
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,ESCUELA BASICA DOCTOR RAMON REINOSO NUEZ,N/A,3292,2766,2766,2719,47,N/A,6,1,0,1,16,1626,1075
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,ESCUELA BASICA VICENTE DAVILA,N/A,3645,2897,2897,2845,52,N/A,7,4,4,2,15,1920,900
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,LICEO ROMULO GALLEGOS,N/A,2246,1931,1931,1911,20,N/A,4,1,2,0,3,1369,536
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,ESCUELA BASICA GLADYS C LOBO DE CARNEVALLI,N/A,2009,1681,1681,1650,31,N/A,4,1,0,0,5,1080,564
EDO. MERIDA,CE. LIBERTADOR,PQ. MILLA,UNIDAD EDUCATIVA COLEGIO SAGRADA FAMILIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. MERIDA,CE. LIBERTADOR,PQ. MARIANO PICON SALAS,ESCUELA BOLIVARIANA HUMBERTO TEJERA,N/A,3424,2996,2996,2952,44,N/A,6,1,0,0,9,2161,781
EDO. MERIDA,CE. LIBERTADOR,PQ. MARIANO PICON SALAS,ESCUELA DEPORTIVA,N/A,2863,2502,2502,2476,26,N/A,5,2,2,1,9,1856,606
EDO. MERIDA,CE. LIBERTADOR,PQ. MARIANO PICON SALAS,ESCUELA BASICA AMADO GONZALEZ,N/A,1522,1270,1270,1249,21,N/A,3,1,0,0,4,882,362
EDO. MERIDA,CE. LIBERTADOR,PQ. MARIANO PICON SALAS,LICEO EXPERIM FRAY J RAMOS DE LORA,N/A,1124,963,963,945,18,N/A,2,2,0,0,3,643,297
EDO. MERIDA,CE. LIBERTADOR,PQ. MARIANO PICON SALAS,UNID EDUC EL RINCON,N/A,820,705,705,695,10,N/A,2,0,0,0,0,352,343
EDO. MERIDA,CE. LIBERTADOR,PQ. EL LLANO,LICEO LIBERTADOR (B),N/A,2017,1745,1745,1730,15,N/A,4,0,0,1,10,1196,523
EDO. MERIDA,CE. LIBERTADOR,PQ. EL LLANO,UNIDAD EDUCATIVA NUESTRA SEÑORA  DE FATIMA,N/A,1650,1450,1450,1437,13,N/A,3,0,2,1,1,1160,273
EDO. MERIDA,CE. LIBERTADOR,PQ. EL LLANO,UNIDAD EDUCATIVA LA SALLE,N/A,3037,2535,2535,2498,37,N/A,6,0,1,0,8,1918,571
EDO. MERIDA,CE. LIBERTADOR,PQ. EL LLANO,UNIDAD EDUCATIVA. COLEGIO LA SALLE B,N/A,707,652,652,649,3,N/A,2,0,1,1,1,532,114
EDO. MERIDA,CE. LIBERTADOR,PQ. EL LLANO,LICEO NACIONAL LIBERTADOR,N/A,3914,3116,3116,3071,45,N/A,7,1,1,1,10,2224,834
