Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,ESCUELA BASICA ESTADO PORTUGUESA,N/A,868,727,727,708,19,N/A,2,0,0,0,1,244,463
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,ESCUELA BASICA NACIONAL JUAN ANTONIO ROMAN VALECILLOS,N/A,3268,2654,2654,2607,47,N/A,6,1,3,2,16,816,1769
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,LICEO NACIONAL  DOS LAGUNAS,N/A,2584,2113,2113,2062,51,N/A,5,0,0,3,7,402,1650
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA ESTADAL SANTA BARBARA,N/A,1291,1064,1064,1042,22,N/A,3,0,0,0,4,135,903
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,CENTRO CULTURAL  JUAN ESPAÑA,N/A,1629,1336,1336,1307,29,N/A,3,0,0,0,2,370,935
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA PRIVADA CONGRESO DE ANGOSTURA,N/A,1556,1279,1279,1256,23,N/A,3,0,0,0,4,492,760
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA SEUCE,N/A,2028,1536,1536,1501,35,N/A,4,4,0,4,6,94,1393
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,N/A,1473,1229,1229,1208,21,N/A,3,0,0,0,3,535,670
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA PRIVADA FRANCISCO TAMAYO,N/A,1038,847,847,827,20,N/A,2,0,0,1,1,351,474
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,ESCUELA BASICA NACIONAL CIUDAD LOZADA,N/A,3576,2833,2833,2793,40,N/A,7,0,1,4,10,568,2210
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,CENTRO DE EDUCACION INICIAL CIUDAD LOZADA,N/A,492,378,378,373,5,N/A,1,0,1,0,1,56,315
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,ESCUELA BASICA NACIONAL 24 DE JUNIO,N/A,4129,3407,3407,3339,68,N/A,8,1,2,4,13,669,2650
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA NACIONAL SAN JOSE DE RIO CHICO,N/A,2913,2311,2311,2226,85,N/A,5,2,2,2,12,735,1473
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA ESTADAL SIMON BOLIVAR,N/A,338,280,280,274,6,N/A,1,1,0,0,0,25,248
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,CENTRO DE EDUCACION INICIAL NACIONAL  EZEQUIEL ZAMORA PREESCOLAR,N/A,408,345,345,335,10,N/A,1,0,0,0,3,88,244
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA NACIONAL  DOLORES GONZALEZ,N/A,1883,1520,1520,1484,36,N/A,4,0,2,0,6,668,808
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA ESTADAL MIGUEL HERNANDEZ,N/A,440,393,393,390,3,N/A,1,1,0,0,4,50,335
EDO. MIRANDA,MP. INDEPENDENCIA,PQ. STA TERESA DEL TUY,UNIDAD EDUCATIVA ESTADAL 15 DE OCTUBRE,N/A,1548,1273,1273,1244,29,N/A,3,0,0,1,1,232,1010
