Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO.NVA.ESPARTA,MP.VILLALBA(I.COCHE),PQ. VICENTE FUENTES,UNIDAD EDUCATIVA ESTADAL FELIPA NERI DE NARVÁEZ,N/A,1061,883,883,873,10,N/A,2,0,0,2,5,359,507
EDO.NVA.ESPARTA,MP.VILLALBA(I.COCHE),PQ. VICENTE FUENTES,UNIDAD EDUCATIVA BOLIVARIANA VICTOR MANUEL SALAZAR,N/A,1040,896,896,879,17,N/A,2,0,0,0,1,438,440
EDO.NVA.ESPARTA,MP.VILLALBA(I.COCHE),PQ. VICENTE FUENTES,UNIDAD EDUCATIVA ESTADAL MERITA MARÍN,N/A,1072,921,921,908,13,N/A,2,0,0,2,1,376,529
EDO.NVA.ESPARTA,MP.VILLALBA(I.COCHE),CM. SAN PEDRO DE COCHE,UNIDAD EDUCATIVA LICEO BOLIVARIANO NAPOLEÓN NARVÁEZ,N/A,1890,1490,1490,1468,22,N/A,4,0,1,5,8,594,860
EDO.NVA.ESPARTA,MP.VILLALBA(I.COCHE),CM. SAN PEDRO DE COCHE,ESCUELA BÁSICA BOLIVARIANA DOCTOR AGUSTÍN RAFAEL HERNÁNDEZ,N/A,2169,1745,1745,1710,35,N/A,4,0,0,5,7,788,910
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA ESPECIAL BOLIVARIANA LUISA CÁCERES DE ARISMENDI,N/A,237,203,203,203,0,N/A,1,0,0,0,0,131,72
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA ESTADAL DOCTOR ANDRES ELOY BLANCO,N/A,2203,1826,1826,1791,35,N/A,4,0,1,0,5,1002,783
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA PROFESOR JOSE INOCENTE ALFARO,N/A,1713,1385,1385,1355,30,N/A,3,0,1,0,5,778,571
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA ESTADAL PROFESOR JULIO VILLARROEL,N/A,2380,1973,1973,1947,26,N/A,5,0,1,1,5,1294,646
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,CENTRO DE EDUCACION INICIAL LA ASUNCION,N/A,1089,920,920,913,7,N/A,2,0,1,0,1,586,325
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA FRANCISCO ESTEBAN GOMEZ,N/A,3453,2850,2850,2803,47,N/A,6,0,0,2,13,1744,1044
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA RAMONA CARABALLO GUZMAN,N/A,1811,1574,1574,1528,46,N/A,4,0,0,1,5,799,723
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA BOLIVARIANA LUISA CACERES DE ARISMENDI,N/A,2436,2029,2029,1989,40,N/A,5,0,2,1,7,1200,779
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,INSTITUTO DE EDUCACION ESPECIAL BOLIVARIANO NUEVA ESPARTA,N/A,294,263,263,261,2,N/A,1,0,1,0,0,129,131
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA ESTADAL ENCARNACION RODRIGUEZ DE ROJAS,N/A,766,589,589,577,12,N/A,2,1,1,0,2,219,354
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIDAD EDUCATIVA LICEO BOLIVARIANO DOCTOR FRANCISCO ANTONIO RISQUEZ,N/A,1077,905,905,890,15,N/A,2,1,0,1,2,569,317
EDO.NVA.ESPARTA,CE. ARISMENDI,CM. LA ASUNCION,UNIVERSIDAD NACIONAL ABIERTA,N/A,757,688,688,679,9,N/A,2,1,1,0,1,408,268
