Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA CONCENTRADA MIXTA NUMERO 133,N/A,559,440,440,414,26,N/A,1,0,0,0,2,122,290
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA CONCENTRADA NUMERO 5,N/A,185,149,149,148,1,N/A,1,0,0,0,0,32,116
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA ESTADAL CONCENTRADA NUMERO 108,N/A,514,407,407,383,24,N/A,1,0,0,0,5,135,243
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA CONCENTRADA NACIONAL MIXTA Y ANEXA ESTADAL NUMERO 132,N/A,852,699,699,676,23,N/A,2,0,0,0,4,174,498
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA CONCENTRADA NUMERO 109,N/A,376,307,307,305,2,N/A,1,0,0,0,1,67,237
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,UNIDAD ESTADAL CONCENTRADA NUMERO 537,N/A,175,158,158,151,7,N/A,1,0,0,1,0,43,107
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA BASICA ESTADAL UNITARIA SIN NUMERO NER 166,N/A,100,87,87,84,3,N/A,1,0,0,0,3,21,60
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA ESTADAL CONCENTRADA NUMERO 121,N/A,319,264,264,253,11,N/A,1,0,0,0,5,48,200
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA NACIONAL CONCENTRADA LA CEBEREÑA,N/A,520,430,430,420,10,N/A,1,2,0,0,5,135,278
EDO. PORTUGUESA,MP. GUANARITO,PQ. DIVINA PASTORA,ESCUELA ESTADAL UNITARIA NUMERO 51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 129,N/A,775,654,654,646,8,N/A,2,0,0,0,0,342,304
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL CONCENTRADA LA HOYADA NUMERO 107,N/A,764,586,586,576,10,N/A,2,0,0,3,1,79,493
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA UNITARIA 536 COROZAL,N/A,585,484,484,478,6,N/A,1,0,0,0,1,231,246
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA PORTUGUESA,N/A,2674,2207,2207,2169,38,N/A,5,2,1,4,11,539,1612
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 131,N/A,268,148,148,148,0,N/A,1,1,0,0,0,11,136
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 12,N/A,362,277,277,272,5,N/A,1,0,0,1,0,37,234
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL CONCENTRADA NUMERO 134,N/A,110,92,92,90,2,N/A,1,0,0,0,0,19,71
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 126,N/A,232,177,177,172,5,N/A,1,0,0,0,1,68,103
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 125,N/A,343,284,284,280,4,N/A,1,0,0,0,5,52,223
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA UNITARIA NUMERO 117,N/A,491,433,433,422,11,N/A,1,1,0,2,1,117,301
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA MUNICIPAL GUANARITO,N/A,3105,2592,2592,2524,68,N/A,6,0,0,2,6,811,1705
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA FRAY ANDRES GRAZALEMA,N/A,1462,1254,1254,1196,58,N/A,3,1,0,3,5,403,784
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA MONSEÑOR UNDA,N/A,2895,2285,2285,2235,50,N/A,6,0,0,5,10,887,1333
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCC.BOLIVARIANA SIMON RODRIGUEZ,N/A,450,388,388,375,13,N/A,1,0,0,0,4,51,320
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA UNITARIA NUMERO 512,N/A,392,329,329,326,3,N/A,1,0,0,1,3,30,292
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL CONCENTRADA 124,N/A,447,346,346,338,8,N/A,1,0,0,0,0,129,209
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,CICLO COMBINADO ARTURO CELESTINO ALVAREZ,N/A,2432,1951,1951,1896,55,N/A,5,1,0,5,4,627,1259
