Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,ESCUELA RURAL BOLIVARIANA RÍO CRISTALINO,N/A,759,554,554,544,10,N/A,2,0,0,0,0,231,313
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,UNIDAD EDUCATIVA ARMANDO MALAVÉ ROMERO,N/A,977,704,704,695,9,N/A,2,1,0,2,1,289,402
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,ESCUELA BOLIVARIANA CAÑO DE CRUZ,N/A,550,378,378,373,5,N/A,1,0,0,0,0,139,234
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,ESCUELA RURAL BOLIVARIANA CALICHE,N/A,226,127,127,123,4,N/A,1,0,0,0,0,68,55
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,ESCUELA RURAL BOLIVARIANA RÍO GRANDE,N/A,1328,848,848,832,16,N/A,3,1,0,0,5,365,461
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,UNIDADA EDUCATIVA RURAL BOLIVARIANA CERRO CANO DE CRUZ,N/A,108,87,87,85,2,N/A,1,0,0,0,2,54,29
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,UNIDAD EDUCATIVA ORIENTE,N/A,1084,735,735,724,11,N/A,2,0,1,0,2,229,492
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,ESCUELA BÁSICA PARARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. ROMULO GALLEGOS,UNIDAD EDUCATIVA DON ROMULO GALLEGOS,N/A,304,252,252,244,8,N/A,1,0,0,0,2,77,165
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,ESCUELA BASICA GUARAGUAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA BOLIVARIANA RÍO DE ORO,N/A,366,229,229,227,2,N/A,1,0,0,0,2,63,162
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,CENTRO EDUCACIÓN INICIAL SANTA CLARA,N/A,488,391,391,383,8,N/A,1,0,0,1,3,109,270
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA BOLIVARIANA RAFAEL RAMOS DÍAZ,N/A,1618,1272,1272,1251,21,N/A,3,0,0,1,9,532,709
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,CENTRO EDUCACIÓN INICIAL BOLIVARIANO SIMONCITO CASANAY,N/A,554,460,460,455,5,N/A,1,0,0,0,0,216,239
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,CENTRO DE EUCACION INICIAL EL PUENTE,N/A,106,88,88,85,3,N/A,1,0,0,0,0,27,58
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA LAS VARAS,N/A,631,509,509,494,15,N/A,2,1,0,1,2,129,361
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA JOSÉ MARÍA CARRERA,N/A,2897,2173,2173,2149,24,N/A,5,3,2,2,17,1033,1092
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA ANTONIO JOSE DE SUCRE,N/A,1001,733,733,717,16,N/A,2,0,0,0,7,331,379
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA BOLIVARIANA SANTA LUCIA,N/A,661,446,446,425,21,N/A,2,0,0,0,4,179,242
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA PETRA TINEO DE CARABALLO,N/A,632,514,514,503,11,N/A,2,1,0,0,1,218,283
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA BOLIVARIANA MATÍAS PARRA ALCALÁ,N/A,3341,2373,2373,2341,32,N/A,6,0,0,0,7,1123,1211
EDO. SUCRE,MP. ANDRES E BLANCO,PQ. MARI#O,UNIDAD EDUCATIVA RURAL BOLIVARIANA SANTA MARTA,N/A,630,455,455,450,5,N/A,2,0,0,0,1,217,232
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BOLIVARIANA EUGENIO PEÑA,N/A,466,392,392,378,14,N/A,1,0,1,0,0,134,243
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,UNIDAD EDUCATIVA BERNARDO BERMÚDEZ,N/A,1618,1309,1309,1281,28,N/A,3,1,0,0,3,480,797
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BOLIVARIANA PLATANITO EL BAJO,N/A,650,505,505,498,7,N/A,2,0,0,0,2,157,339
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BOLIVARIANA ÑO CARLOS,N/A,292,225,225,223,2,N/A,1,0,0,0,2,40,181
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BOLIVARIANA CUMBRE MARIANO LEÓN,N/A,414,288,288,284,4,N/A,1,0,0,0,1,96,187
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BOLIVARIANA LAS PRADERAS,N/A,820,660,660,642,18,N/A,2,0,0,0,0,236,406
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,LICEO BOLIVARIANO BRAZON DE ORO,N/A,348,246,246,240,6,N/A,1,0,0,0,1,60,179
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BÁSICA RÍO ARRIBA,N/A,235,165,165,157,8,N/A,1,0,0,0,1,51,105
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,UNIDAD EDUCATIVA PEDRO ELÍAS MARCANO,N/A,1949,1448,1448,1417,31,N/A,4,0,2,2,6,557,850
EDO. SUCRE,MP. LIBERTADOR,PQ. TUNAPUY,ESCUELA BÁSICA CATUARO ARRIBA,N/A,336,238,238,231,7,N/A,1,1,0,0,0,83,147
EDO. SUCRE,MP. LIBERTADOR,PQ. CAMPO ELIAS,ESCUELA BOLIVARIANA GUAYANA,N/A,619,408,408,402,6,N/A,2,0,0,0,2,104,296
EDO. SUCRE,MP. LIBERTADOR,PQ. CAMPO ELIAS,ESCUELA BOLIVARIIANA RIO DE AGUA,N/A,185,136,136,136,0,N/A,1,0,0,0,0,13,123
EDO. SUCRE,MP. LIBERTADOR,PQ. CAMPO ELIAS,ESCUELA BOLIVARIANA CANGREJAL,N/A,233,167,167,163,4,N/A,1,0,0,0,1,35,127
EDO. SUCRE,MP. MARI#O,PQ. CAMPO CLARO,UNIDAD EDUCATIVA  BOLIVARIANA ROMÁN VALECILLO,N/A,2419,1613,1613,1562,51,N/A,5,0,1,1,3,577,980
EDO. SUCRE,MP. MARI#O,PQ. CAMPO CLARO,ESCUELA BOLIVARIANA ALTO AMARA,N/A,156,120,120,116,4,N/A,1,0,0,0,0,55,61
EDO. SUCRE,MP. MARI#O,PQ. CAMPO CLARO,ESCUELA BOLIVARIANA MUNDO NUEVO,N/A,459,329,329,327,2,N/A,1,0,0,0,0,58,269
EDO. SUCRE,MP. MARI#O,PQ. CAMPO CLARO,ESCUELA BÁSICA PUNTA BRAVA,N/A,126,106,106,102,4,N/A,1,0,0,0,1,13,88
EDO. SUCRE,MP. MARI#O,PQ. MARABAL,ESCUELA BOLIVARIANA MARABAL,N/A,1089,760,760,749,11,N/A,2,0,0,3,6,194,546
EDO. SUCRE,MP. MARI#O,PQ. MARABAL,ESCUELA BOLIVARIANA VERICALLAR,N/A,427,317,317,314,3,N/A,1,0,0,0,0,70,244
EDO. SUCRE,MP. MARI#O,PQ. MARABAL,ESCUELA BÁSICA VALENCIA,N/A,187,135,135,134,1,N/A,1,0,0,0,0,35,99
EDO. SUCRE,MP. MARI#O,PQ. SORO,ESCUELA BOLIVARIANA JUAN PEDRO,N/A,480,320,320,319,1,N/A,1,0,0,0,0,106,213
EDO. SUCRE,MP. MARI#O,PQ. SORO,UNIDAD EDUCATIVA ANDRÉS ELOY BLANCO,N/A,1021,664,664,653,11,N/A,2,0,0,0,3,195,455
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BOLIVARIANA RÍO GRANDE ABAJO,N/A,282,196,196,196,0,N/A,1,0,0,0,0,87,109
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BÁSICA PUEBLO VIEJO,N/A,456,327,327,324,3,N/A,1,0,0,0,1,87,236
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BÁSICA MUNDO NUEVO,N/A,466,337,337,335,2,N/A,1,0,0,0,0,79,256
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BÁSICA EL CHAURE,N/A,407,288,288,280,8,N/A,1,0,0,0,2,100,178
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BOLIVARIANA RÍO GRANDE ARRIBA,N/A,836,597,597,580,17,N/A,2,0,0,0,1,281,298
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,UNIDAD EDUCATIVA  SANTIAGO MARIÑO,N/A,920,644,644,636,8,N/A,2,0,0,0,3,255,378
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BASICA LAS MELENAS,N/A,70,56,56,55,1,N/A,1,0,0,0,1,9,45
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BOLIVARIANA VIRGINIA BOOZ,N/A,617,492,492,483,9,N/A,2,0,0,0,2,198,283
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,UNIDAD EDUCATIVA JOSÉ EUSTAQUIO MACHADO,N/A,3344,2224,2224,2188,36,N/A,6,1,1,0,4,968,1214
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BÁSICA RÍO SECO,N/A,511,357,357,353,4,N/A,1,0,0,0,3,112,238
EDO. SUCRE,MP. MARI#O,PQ. IRAPA,ESCUELA BÁSICA RÍO CHIQUITO ARRIBA,N/A,520,402,402,395,7,N/A,1,0,0,0,1,113,281
EDO. SUCRE,MP. MARI#O,PQ. SAN ANTONIO DE IRAPA,UNIDAD EDUCATIVA SAN ANTONIO,N/A,1196,764,764,749,15,N/A,2,0,0,0,2,251,496
EDO. SUCRE,MP. MARI#O,PQ. SAN ANTONIO DE IRAPA,ESCUELA BOLIVARIANA MANACAL,N/A,248,180,180,178,2,N/A,1,0,0,0,0,65,113
EDO. SUCRE,MP. MARI#O,PQ. SAN ANTONIO DE IRAPA,ESCUELA BÁSICA LA MESETA,N/A,314,199,199,196,3,N/A,1,0,0,0,1,68,127
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BOLIVARIANA MACANILLAR,N/A,84,41,41,41,0,N/A,1,0,0,0,0,3,38
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA PUERTO LA CRUZ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA BOCA DE CUMANA,N/A,215,105,105,105,0,N/A,1,0,0,0,0,25,80
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA PUERTO CABALLO,N/A,271,187,187,186,1,N/A,1,0,0,0,0,30,156
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BOLIVARIANA PARGO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BOLIVARIANA LUIS FELIPE RAMÍREZ BLANCO,N/A,1173,745,745,719,26,N/A,2,0,0,0,5,315,399
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA UQUIRE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA PUERTO VIEJO,N/A,221,154,154,152,2,N/A,1,0,0,0,0,6,146
EDO. SUCRE,MP. ARISMENDI,PQ. ANTONIO JOSE DE SUCRE,ESCUELA BÁSICA SANTA ISABEL,N/A,82,47,47,46,1,N/A,1,0,0,1,0,0,45
EDO. SUCRE,MP. ARISMENDI,PQ. EL MORRO DE PTO SANTO,U.E. EL MORRO,N/A,2776,2103,2103,2072,31,N/A,5,0,2,1,5,573,1491
EDO. SUCRE,MP. ARISMENDI,PQ. EL MORRO DE PTO SANTO,UNIDAD EDUCATIVA ALBERTO CARNEVALLI,N/A,2625,1965,1965,1944,21,N/A,5,2,1,0,4,713,1224
EDO. SUCRE,MP. ARISMENDI,PQ. EL MORRO DE PTO SANTO,UNIDAD EDUCATIVA CONCENTRADA LA CISTERNA,N/A,252,214,214,209,5,N/A,1,0,0,0,1,50,158
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,ESCUELA BOLIVARIANA RITA SUCRE DE RAMOS,N/A,1061,815,815,809,6,N/A,2,0,0,0,4,289,516
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,ESCUELA BOLIVARIANA CRUZ DE PUERTO SANTO,N/A,1453,1048,1048,1023,25,N/A,3,0,0,0,1,436,586
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,CENTRO DE EDUCACION INICIAL DONA ROSALIA CAMPINS DE HERRERA,N/A,463,355,355,347,8,N/A,1,0,0,0,0,121,226
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,ESCUELA BÁSICA EL GUARICO,N/A,181,127,127,126,1,N/A,1,0,0,0,0,51,75
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,ESCUELA BOLIVARIANA MAURAQUITO,N/A,644,448,448,443,5,N/A,2,0,0,0,4,153,286
EDO. SUCRE,MP. ARISMENDI,PQ. PUERTO SANTO,ESCUELA BOLIVARIANA LLANADA DE RIO,N/A,381,319,319,311,8,N/A,1,1,0,0,0,101,209
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,CENTRO DE EDUCACION INICIAL EL LIMON,N/A,92,83,83,82,1,N/A,1,0,0,0,0,10,72
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BOLIVARIANA GUACUCO,N/A,465,329,329,325,4,N/A,1,0,0,0,0,32,293
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,U.E. GUARATARO,N/A,636,450,450,447,3,N/A,2,0,0,0,2,150,295
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BÁSICA EL SACO,N/A,172,126,126,126,0,N/A,1,0,0,0,2,19,105
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BOLIVARIANA DON ANDRÉS BELLO,N/A,1467,969,969,942,27,N/A,3,0,0,1,7,324,610
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BASICA CANGUA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BÁSICA LLANADA DE CANGUA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. SAN JUAN GALDONAS,ESCUELA BÁSICA BUENA VISTA,N/A,183,108,108,107,1,N/A,1,1,0,0,0,33,73
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA QUEBRADA SECA,N/A,413,264,264,260,4,N/A,1,0,0,1,0,100,159
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA EL PUY PUY,N/A,616,372,372,369,3,N/A,2,0,0,0,2,161,206
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA MEDINA,N/A,400,271,271,267,4,N/A,1,0,0,0,4,109,154
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA GUAYABEROS,N/A,1078,830,830,817,13,N/A,2,0,1,0,4,306,506
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,U.E. DON FRANCISCO CARRASQUERO,N/A,982,753,753,742,11,N/A,2,0,0,0,2,249,491
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA LAS VEGAS,N/A,452,389,389,385,4,N/A,1,0,0,1,1,136,247
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA LA CONCEPCIÓN,N/A,360,240,240,237,3,N/A,1,0,0,0,1,30,206
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA NICOLÁS FLORES,N/A,2093,1585,1585,1563,22,N/A,4,1,0,0,4,587,971
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA CHAGUARAMAS DE LOERO,N/A,393,298,298,293,5,N/A,1,0,0,0,0,76,217
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA LAS GUERRILLAS,N/A,168,162,162,160,2,N/A,1,0,0,0,0,37,123
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA COCOLI,N/A,218,188,188,183,5,N/A,1,0,0,0,1,64,118
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BOLIVARIANA ROJAS PAÚL,N/A,2541,1920,1920,1894,26,N/A,5,0,0,0,4,782,1108
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,U.E. CARLOS FRANCISCO GRISANTI,N/A,3075,2365,2365,2334,31,N/A,6,0,0,0,5,1082,1247
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA SANTA ISABEL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,UNIDAD EDUCATIVA RIO SALADO,N/A,176,161,161,160,1,N/A,1,0,0,0,2,12,146
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA CARAQUITA,N/A,184,130,130,129,1,N/A,1,0,0,0,0,15,114
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA MAURACO,N/A,343,241,241,236,5,N/A,1,0,0,0,0,45,191
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BASICA EL CUCHAPE,N/A,162,129,129,126,3,N/A,1,0,0,0,1,32,93
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,U.E.BOLIVARIANA SANTA BARBARA,N/A,213,186,186,185,1,N/A,1,0,0,0,1,43,141
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA PATUCUTAL,N/A,203,168,168,166,2,N/A,1,0,0,0,0,29,137
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA LA GLORIA,N/A,363,284,284,279,5,N/A,1,0,0,0,1,93,185
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA SANTA MARIA,N/A,171,121,121,119,2,N/A,1,0,0,0,1,8,110
EDO. SUCRE,MP. ARISMENDI,PQ. RIO CARIBE,ESCUELA BÁSICA VUELTA LARGA,N/A,281,186,186,186,0,N/A,1,0,0,0,0,27,159
