Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. TACHIRA,MP. INDEPENDENCIA,PQ. ROMAN CARDENAS,ESCUELA BOLIVARIANA PERIBECA,N/A,1508,1307,1307,1279,28,N/A,3,0,1,0,3,777,498
EDO. TACHIRA,MP. INDEPENDENCIA,PQ. ROMAN CARDENAS,ESCUELA BOLIVARIANA EL TOPON,N/A,559,461,461,454,7,N/A,1,0,0,1,4,148,301
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,CENTRO DE EDUCACIÓN INICIAL SIMONCITO ELOINA BONILLA,N/A,211,193,193,190,3,N/A,1,0,0,0,1,80,109
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,CENTRO DE EDUCACION INICIAL TARABAY,N/A,1505,1273,1273,1240,33,N/A,3,0,0,0,6,781,453
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,ESCUELA BOLIVARIANA PARAMO DE LA LAJA,N/A,742,650,650,629,21,N/A,2,0,0,0,3,323,303
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,LICEO BOLIVARIANO ROMAN CARDENAS,N/A,2261,1901,1901,1858,43,N/A,4,0,1,1,12,1225,619
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,ESCUELA BOLIVARIANA LA LAJA,N/A,1098,952,952,930,22,N/A,2,0,1,0,2,481,446
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,ESCUELA BOLIVARIANA PRESBITERO JUVENAL CARRERO,N/A,571,485,485,481,4,N/A,1,0,0,0,1,214,266
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,ESCUELA BOLIVARIANA ESTADO MIRANDA,N/A,2864,2361,2361,2312,49,N/A,5,1,2,1,9,1428,871
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,UNIDAD EDUCATIVA ESTADAL PADRE CONTRERAS,N/A,1861,1579,1579,1551,28,N/A,4,1,0,0,7,823,720
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,ESCUELA DE LABORES NOCTURNA INDEPENDENCIA,N/A,220,171,171,167,4,N/A,1,0,0,0,0,69,98
EDO. TACHIRA,MP. INDEPENDENCIA,CM. CAPACHO NUEVO,UNIDAD EDUCATIVA MUNICIPAL BOLIVARIANA CAMPO C,N/A,762,671,671,661,10,N/A,2,0,0,0,3,315,343
