Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. TRUJILLO,MP. PAMPANITO,PQ. LA CONCEPCION,UNIDAD EDUCATIVA SIMÓN RODRIGUEZ,N/A,269,229,229,227,2,N/A,1,0,1,0,1,59,166
EDO. TRUJILLO,MP. PAMPANITO,PQ. LA CONCEPCION,SEDE PRINCIPAL DE PROTECCIÓN CIVIL,N/A,395,366,366,359,7,N/A,1,0,0,0,0,152,207
EDO. TRUJILLO,MP. PAMPANITO,PQ. LA CONCEPCION,UNIDAD EDUCATIVA PROFESOR JOSÉ ALBERTO AZUAJE,N/A,1002,879,879,854,25,N/A,2,0,1,0,2,401,450
EDO. TRUJILLO,MP. PAMPANITO,PQ. LA CONCEPCION,MULTIHOGAR GOTITA DE AMOR,N/A,70,60,60,60,0,N/A,1,0,0,0,2,8,50
EDO. TRUJILLO,MP. PAMPANITO,PQ. LA CONCEPCION,ESCUELA CONCENTRADA LA CONCEPCIÓN,N/A,1514,1247,1247,1230,17,N/A,3,0,0,1,5,443,781
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,BIBLIOTECA PÚBLICA,N/A,1234,1009,1009,987,22,N/A,3,0,0,0,4,383,600
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,CENTRO MÓVIL ADYACENTE AL AMBULATORIO RURAL TIPO I LA MURALLA,N/A,742,692,692,677,15,N/A,2,0,0,0,3,201,473
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,CASA COMUNAL LOMA DE LOS MOMONES,N/A,119,105,105,101,4,N/A,1,0,0,0,0,4,97
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,ESCUELA TÉCNICA ROBINSONIANA AGROPECUARIA ADOLFO NAVAS CORONADO,N/A,677,558,558,543,15,N/A,2,0,0,0,2,253,288
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,LICEO BOLIVARIANO PROFESOR ALFREDO RAMON DELGADO MEJIAS,N/A,121,105,105,102,3,N/A,1,0,1,0,0,40,61
EDO. TRUJILLO,MP. PAMPANITO,PQ. PAMPANITO,ESCUELA ESTADAL CONCENTRADA DOLORES DIONISIA SANTO MORENO,N/A,485,377,377,366,11,N/A,1,0,0,0,4,50,312
