Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,DESARROLLO URBANISTICO CARABALLEDA IV,N/A,146,132,132,130,2,N/A,1,0,0,0,0,5,125
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,DESARROLLO URBANISTICO CARABALLEDA III,N/A,62,60,60,60,0,N/A,1,0,0,0,0,2,58
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,UNIDAD EDUCATIVA PRIVADA COLEGIO SANTO DOMINGO DE GUZMAN,N/A,1322,1092,1092,1062,30,N/A,3,1,1,1,7,314,738
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,ESCUELA HILDA VASQUEZ,N/A,450,405,405,399,6,N/A,1,0,0,0,2,136,261
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,DESARROLLO URBANISTICO CARABALLEDA VI,N/A,147,138,138,135,3,N/A,1,0,0,1,0,4,130
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,UNIDAD EDUCATIVA NACIONAL CORAPAL,N/A,3306,2600,2600,2562,38,N/A,6,0,3,3,12,1018,1526
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,UNIDAD EDUCATIVA PRIVADA VENEZUELA HEROICA,N/A,1786,1287,1287,1274,13,N/A,4,0,1,0,4,940,329
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,ESCUELA BASICA ESTATAL LUIS CASTRO,N/A,2393,1852,1852,1803,49,N/A,5,0,2,1,12,685,1103
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,JARDIN DE INFANCIA CORAPAL,N/A,1882,1473,1473,1435,38,N/A,4,2,2,1,9,520,901
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,INSTITUTO DE EDUCACION ESPECIAL MODELO LA GUAIRA,N/A,565,449,449,444,5,N/A,1,0,0,0,0,158,286
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,CASA COMUNAL EL CAIMITO,N/A,324,294,294,288,6,N/A,1,0,0,1,0,51,236
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,ESCUELA INTEGRAL BOLIVARIANA EZEQUIEL ZAMORA,N/A,1474,1212,1212,1193,19,N/A,3,0,0,0,5,437,751
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,UNIDAD EDUCATIVA PRIVADA COLEGIO LA MERCED,N/A,4571,3835,3835,3787,48,N/A,8,0,0,0,15,2980,792
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,CENTRO MOVIL CASA DE LA CULTURA DE TANAGUERENA,N/A,344,302,302,297,5,N/A,1,0,0,0,3,83,211
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,ESCUELA NACIONAL CARABALLEDA,N/A,2782,2155,2155,2111,44,N/A,5,1,1,0,8,994,1107
EDO. VARGAS,CE. VARGAS,PQ. CARABALLEDA,UNIDADAD EDUCATIVA PRIVADA TANAGUARENA,N/A,2829,2298,2298,2265,33,N/A,5,0,3,1,7,1290,964
