Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL INDEPENDENCIA,N/A,1618,1284,1284,1254,30,N/A,3,0,0,1,17,756,480
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA MARIA EVA DE LISCANO,N/A,2781,2345,2345,2290,55,N/A,5,2,2,2,12,1243,1029
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,INSTITUTO UNIVERSITARIO DE TECNOLOGIA DEL YARACUY IUTY,N/A,2956,2567,2567,2521,46,N/A,6,0,0,1,5,1760,755
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL DON JUANCHO,N/A,345,316,316,312,4,N/A,1,0,1,0,0,88,223
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA BASICA RAFAEL ANDRADE,N/A,1607,1381,1381,1340,41,N/A,3,0,0,0,7,760,573
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA LA NEGRITA,N/A,505,407,407,388,19,N/A,1,0,0,0,3,78,307
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,INTERNADO JUDICIAL,N/A,664,463,463,448,15,N/A,2,0,0,0,3,209,236
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL CUERPO DE BOMBEROS,N/A,602,532,532,516,16,N/A,2,0,0,1,1,254,260
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,OFICINA DE TRANSPORTE BOLIVARIANO,N/A,1219,942,942,913,29,N/A,3,0,0,0,6,305,602
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL  CONVENCIONAL DOCTOR RUBEN VILLALBA,N/A,1039,858,858,828,30,N/A,2,1,0,0,5,449,373
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA BASICA ANA ELISA LOPEZ,N/A,2923,2415,2415,2347,68,N/A,6,0,1,1,2,1315,1028
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,GIMNASIO CUBIERTO JESUS PIMPO ELORZA,N/A,1262,1145,1145,1119,26,N/A,3,0,1,1,6,643,468
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ALDEA UNIVERSITARIA MISION SUCRE INDEPENDENCIA,N/A,1425,1321,1321,1284,37,N/A,3,0,0,4,6,630,644
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,UNIVERSIDAD SIMON RODRIGUEZ,N/A,28,25,25,24,1,N/A,1,0,0,0,0,13,11
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA BOLIVARIANA IGNACIO GREGORIO MENDEZ,N/A,1664,1339,1339,1277,62,N/A,3,0,2,2,13,674,586
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA TAMANAVARE,N/A,189,168,168,148,20,N/A,1,0,0,0,4,39,105
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION  INICIAL BOLIVARIANO  IGNACIO GREGORIO MENDEZ,N/A,989,802,802,773,29,N/A,2,0,1,1,5,371,395
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA CAÑAVERAL,N/A,1462,1218,1218,1185,33,N/A,3,0,0,0,4,492,689
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL RAFAEL ANTONIO REYES ZUMETA,N/A,378,318,318,312,6,N/A,1,0,0,0,1,205,106
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,TALLER DE EDUCACION LABORAL BOLIVARIANO PILAR DE KREUBELL,N/A,345,301,301,294,7,N/A,1,0,0,0,2,149,143
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA VIJAGUAL,N/A,501,409,409,397,12,N/A,1,0,0,0,0,210,187
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA CASCABEL,N/A,2466,2089,2089,2033,56,N/A,5,2,2,2,12,1212,803
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA BASICA  BOLIVARIANA INDEPENDENCIA,N/A,3379,2735,2735,2624,111,N/A,6,0,3,1,14,1590,1016
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL VALLE DE LAS FLORES,N/A,823,694,694,686,8,N/A,2,0,0,1,8,426,251
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,LICEO BOLIVARIANO COMUNITARIO CASA TALLER CECILIA MUJICA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,444,352
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION  INICIAL YURUBI,N/A,1015,895,895,882,13,N/A,2,0,0,0,6,501,375
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,GIMNASIO CUBIERTO NICOLAS OJEDA PARRA,N/A,825,710,710,693,17,N/A,2,0,1,1,2,411,278
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA EZEQUIEL ZAMORA,N/A,975,811,811,788,23,N/A,2,0,0,1,8,268,511
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,CENTRO DE EDUCACION INICIAL MENCA DE LEONI,N/A,302,236,236,230,6,N/A,1,0,0,0,1,75,154
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA INTEGRAL BOLIVARIANA ADOLFO NAVAS CORONADO,N/A,2207,1814,1814,1774,40,N/A,4,1,0,0,14,979,780
EDO. YARACUY,MP. INDEPENDENCIA,CM. INDEPENDENCIA,ESCUELA BASICA SAN RAFAEL. NER 298,N/A,605,550,550,539,11,N/A,2,0,0,0,5,250,284
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA BASICA MIGUEL ANTONIO FLORES,N/A,2450,2097,2097,2051,46,N/A,5,0,1,1,17,589,1443
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA MAYURUPI,N/A,1540,1236,1236,1204,32,N/A,3,0,0,1,11,483,709
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA BASICA JOSE ANTONIO PAEZ,N/A,746,646,646,634,12,N/A,2,1,0,0,2,179,452
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA COPA REDONDA,N/A,2071,1719,1719,1659,60,N/A,4,1,0,0,14,406,1238
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA RAFAEL CALDERA,N/A,884,746,746,726,20,N/A,2,0,0,1,2,127,596
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTRGRAL BOLIVARIANA LA LIMA,N/A,337,302,302,298,4,N/A,1,0,0,0,1,38,259
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA LA BLANQUERA,N/A,624,565,565,556,9,N/A,2,0,0,1,3,174,378
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA LEOPOLDO TORREZ,N/A,912,789,789,761,28,N/A,2,0,0,2,4,138,617
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,CENTRO DE EDUCACION INICIAL BOLIVARIANO MAYURUPI,N/A,1052,825,825,810,15,N/A,2,0,0,1,8,307,494
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,ESCUELA INTEGRAL BOLIVARIANA PROFESORA REINA PARRA,N/A,1564,1298,1298,1277,21,N/A,3,0,1,0,10,454,812
EDO. YARACUY,MP.JOSE ANTONIO PAEZ,CM. SABANA DE PARRA,JARDIN DE INFANCIA SABANA DE PARRA,N/A,533,455,455,445,10,N/A,1,0,0,0,5,133,307
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,UNIDAD EDUCATIVA CAMPO AMOR,N/A,125,69,69,69,0,N/A,1,0,0,0,1,28,40
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,ESCUELA RURAL LAGUNA VERDE,N/A,324,245,245,241,4,N/A,1,0,0,0,3,50,188
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,ESCUELA INTEGRAL BOLIVARIANA  MIGUEL ANGEL GRANADO,N/A,2754,2265,2265,2208,57,N/A,5,1,1,2,8,1017,1179
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,ESCUELA INTEGRAL BOLIVARIANA PANCHITO,N/A,216,196,196,191,5,N/A,1,0,0,0,0,56,135
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,CASA COMUNAL DE GUERRERO,N/A,126,86,86,86,0,N/A,1,0,0,0,0,11,75
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,SEMILLERO CULTURAL AIRE LIBRE,N/A,391,369,369,356,13,N/A,1,0,0,0,0,153,203
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,ESCUELA  INTEGRAL BOLIVARIANA  LAS CAOBAS,N/A,119,92,92,89,3,N/A,1,0,0,0,1,9,79
EDO. YARACUY,MP. NIRGUA,CM. NIRGUA,ESCUELA CONCENTRADA LA MIEL CINCO LOMAS,N/A,277,196,196,192,4,N/A,1,0,0,0,0,29,163
