Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. ANDRES BELLO (KM 48),ESCUELA BASICA BOLIVARIANA LA PIÑATA,N/A,869,588,588,581,7,N/A,2,0,0,0,0,202,379
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. ANDRES BELLO (KM 48),ESCUELA BOLIVARIANA LA CEPEDA,N/A,105,87,87,86,1,N/A,1,0,0,0,1,33,52
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. ANDRES BELLO (KM 48),UNIDAD EDUCATIVA ESTADAL BETHY RIOS,N/A,2977,2285,2285,2261,24,N/A,6,0,2,0,5,815,1439
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. ANDRES BELLO (KM 48),UNIDAD EDUCATIVA ESTADAL MAESTRA ELISA FARIA,N/A,2242,1657,1657,1637,20,N/A,4,0,0,0,3,469,1165
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. EL CARMELO,UNIDAD EDUCATIVA SEÑOR FEBRES NAVA,N/A,947,773,773,765,8,N/A,2,0,0,0,3,352,410
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. EL CARMELO,UNIDAD EDUCATIVA NACIONAL ROBERTO GONZALEZ,N/A,5213,4431,4431,4405,26,N/A,9,0,0,1,3,2143,2258
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. CHIQUINQUIRA,CENTRO EDUCATIVO INICIAL SIMONCITO URDANETA,N/A,1513,1169,1169,1156,13,N/A,3,0,0,0,2,315,839
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. CHIQUINQUIRA,ESCUELA  BASICA ESTADAL GIRALDOT,N/A,3499,2788,2788,2758,30,N/A,6,1,0,1,3,1026,1727
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. CHIQUINQUIRA,UNIDAD EDUCATIVA ESTADAL MAESTRO FRANCISCO ESPARZA,N/A,3034,2433,2433,2417,16,N/A,6,0,0,0,7,1089,1321
EDO. ZULIA,MP. LA CA#ADA DE U.,PQ. POTRERITOS,UNIDAD EDUCATIVA NACIONAL CACIQUE MARA,N/A,3519,2867,2867,2850,17,N/A,6,0,0,0,2,1326,1522
