EDO. PORTUGUESA	1246	560056	10088	1293	319542	191	452086	2714	359	462174	577589	462174	171	129109
EDO. SUCRE	1367	615902	7737	1398	277892	121	461758	2052	238	469495	627622	469495	137	181318
EDO. MERIDA	1219	567347	8801	1246	224002	131	462836	1621	186	471637	576870	471637	170	236726
EDO. AMAZONAS	185	80214	1916	232	32896	22	61796	494	23	63712	96290	63712	28	28333
EDO. DELTA AMAC	252	100269	1857	290	48489	39	74359	598	56	76216	113246	76216	25	25152
EDO. GUARICO	991	467223	7113	1066	236342	120	369595	2112	231	376708	500651	376708	143	130647
EDO. YARACUY	911	399730	7923	923	192699	112	321276	1702	208	329199	405385	329199	136	126419
EDO. FALCON	1408	620298	10253	1447	291837	138	487974	2732	239	498227	634614	498227	179	192849
DTTO. CAPITAL	3207	1608976	25237	3207	695162	440	1267287	5324	796	1292524	1608976	1292524	1253	564312
EDO. TRUJILLO	1184	495257	7456	1199	250076	84	390547	1518	206	398003	501516	398003	125	138538
EDO. APURE	663	300835	4823	688	152887	53	231857	1378	141	236680	310047	236680	61	77337
EDO. CARABOBO	2887	1501444	20694	2923	646863	392	1189286	5637	623	1209980	1516240	1209980	638	535133
EDO. VARGAS	547	263656	4105	553	126365	68	205669	1007	133	209774	265911	209774	157	77939
EDO. ZULIA	4536	2315534	28302	4580	966089	319	1812023	5312	788	1840325	2334529	1840325	596	838919
EDO. ANZOATEGUI	1977	989940	16447	2013	405428	235	788038	5034	430	804485	1006509	804485	298	376613
EDO. LARA	2432	1161288	18364	2537	482286	335	945038	5797	782	963402	1197690	963402	521	455317
EDO. ARAGUA	2281	1157510	18467	2295	550237	249	939528	4277	598	957995	1164714	957995	572	383595
EDO. MONAGAS	1198	573136	9006	1247	264408	97	454319	2696	232	463325	595085	463325	157	186729
EDO. BOLIVAR	1904	908125	14546	1990	376449	214	704439	4690	428	718985	941697	718985	311	322347
EDO. MIRANDA	3816	1933761	28770	3852	766473	408	1535477	5562	787	1564247	1950657	1564247	1128	761119
EDO. BARINAS	1116	507726	8656	1164	237128	80	401274	2058	217	409930	525152	409930	103	161688
EDO. COJEDES	495	220670	4496	501	115888	70	177586	1096	81	182082	223028	182082	69	60382
EDO.NVA.ESPARTA	658	324177	4834	669	131582	34	258004	1141	80	262838	329544	262838	89	125078
EDO. TACHIRA	1676	787069	12974	1705	271036	110	626823	2384	201	639797	799086	639797	241	352851
